config,model_seed,mae,mse,rmse,mape
Multivariada 3 passos 24h (baseline),42,0.0719855406566649,0.011499870323053895,0.1072374483240528,11.228862404492954
Multivariada 3 passos 24h (baseline),7,0.0766233712086977,0.013163476035341945,0.11473219267207414,11.633098994635041
Multivariada 3 passos 24h (baseline),123,0.07493364840756085,0.012777729941911084,0.11303862146147697,11.334882005011064
Univariada (sem auxiliares) 24h,42,0.07105606398157617,0.010824249804396852,0.10403965496096598,11.311361353792705
Univariada (sem auxiliares) 24h,7,0.07030960295380856,0.010721296996727098,0.10354369607430043,10.882115887641
Univariada (sem auxiliares) 24h,123,0.07039938908337119,0.010552688452706295,0.10272627927023491,11.262616293588792
Passo unico 24h,42,0.05349432744236097,0.005684279168674631,0.0753941587172019,8.64606933168217
Passo unico 24h,7,0.055716424942621676,0.006193730099212876,0.07870025475951699,9.234447621436079
Passo unico 24h,123,0.062259795442337985,0.007616428637873205,0.08727215270562086,9.676848048568722
Janela 12h,42,0.0755741181536403,0.012923476742350238,0.11368147053214187,11.279832800921609
Janela 12h,7,0.0707291172792552,0.01060737450050732,0.10299210892348656,11.06188177198492
Janela 12h,123,0.07085865511225749,0.01008117275760152,0.1004050434868763,11.585084043314877
Janela 30h,42,0.08728977842604696,0.017759193794232277,0.1332636251729341,13.318821651661178
Janela 30h,7,0.07383034683000404,0.012083669205702967,0.10992574405344258,11.357600164814958
Janela 30h,123,0.07099335008075393,0.011370827111632821,0.10663408044163376,11.009244306008407
