config,model_seed,anomaly_seed,precision,recall,f1,detected,true_anomalies
Multivariada 3 passos 24h (baseline),42,42,0.8,1.0,0.8888888888888888,25,20
Multivariada 3 passos 24h (baseline),42,43,0.8,1.0,0.8888888888888888,25,20
Multivariada 3 passos 24h (baseline),42,44,0.8,1.0,0.8888888888888888,25,20
Multivariada 3 passos 24h (baseline),42,45,0.8,1.0,0.8888888888888888,25,20
Multivariada 3 passos 24h (baseline),42,46,0.8,1.0,0.8888888888888888,25,20
Multivariada 3 passos 24h (baseline),7,42,0.8333333333333334,1.0,0.9090909090909091,24,20
Multivariada 3 passos 24h (baseline),7,43,0.8333333333333334,1.0,0.9090909090909091,24,20
Multivariada 3 passos 24h (baseline),7,44,0.8333333333333334,1.0,0.9090909090909091,24,20
Multivariada 3 passos 24h (baseline),7,45,0.8333333333333334,1.0,0.9090909090909091,24,20
Multivariada 3 passos 24h (baseline),7,46,0.8333333333333334,1.0,0.9090909090909091,24,20
Multivariada 3 passos 24h (baseline),123,42,0.9090909090909091,1.0,0.9523809523809523,22,20
Multivariada 3 passos 24h (baseline),123,43,0.9090909090909091,1.0,0.9523809523809523,22,20
Multivariada 3 passos 24h (baseline),123,44,0.9090909090909091,1.0,0.9523809523809523,22,20
Multivariada 3 passos 24h (baseline),123,45,0.9090909090909091,1.0,0.9523809523809523,22,20
Multivariada 3 passos 24h (baseline),123,46,0.9090909090909091,1.0,0.9523809523809523,22,20
Univariada (sem auxiliares) 24h,42,42,0.9523809523809523,1.0,0.975609756097561,21,20
Univariada (sem auxiliares) 24h,42,43,0.9523809523809523,1.0,0.975609756097561,21,20
Univariada (sem auxiliares) 24h,42,44,0.9090909090909091,1.0,0.9523809523809523,22,20
Univariada (sem auxiliares) 24h,42,45,0.9523809523809523,1.0,0.975609756097561,21,20
Univariada (sem auxiliares) 24h,42,46,0.9523809523809523,1.0,0.975609756097561,21,20
Univariada (sem auxiliares) 24h,7,42,0.9090909090909091,1.0,0.9523809523809523,22,20
Univariada (sem auxiliares) 24h,7,43,0.9090909090909091,1.0,0.9523809523809523,22,20
Univariada (sem auxiliares) 24h,7,44,0.8333333333333334,1.0,0.9090909090909091,24,20
Univariada (sem auxiliares) 24h,7,45,0.8695652173913043,1.0,0.9302325581395349,23,20
Univariada (sem auxiliares) 24h,7,46,0.9090909090909091,1.0,0.9523809523809523,22,20
Univariada (sem auxiliares) 24h,123,42,0.9523809523809523,1.0,0.975609756097561,21,20
Univariada (sem auxiliares) 24h,123,43,0.9523809523809523,1.0,0.975609756097561,21,20
Univariada (sem auxiliares) 24h,123,44,0.9090909090909091,1.0,0.9523809523809523,22,20
Univariada (sem auxiliares) 24h,123,45,0.9523809523809523,1.0,0.975609756097561,21,20
Univariada (sem auxiliares) 24h,123,46,0.9523809523809523,1.0,0.975609756097561,21,20
Passo unico 24h,42,42,0.7692307692307693,1.0,0.8695652173913043,26,20
Passo unico 24h,42,43,0.8333333333333334,1.0,0.9090909090909091,24,20
Passo unico 24h,42,44,0.7407407407407407,1.0,0.851063829787234,27,20
Passo unico 24h,42,45,0.7692307692307693,1.0,0.8695652173913043,26,20
Passo unico 24h,42,46,0.8,1.0,0.8888888888888888,25,20
Passo unico 24h,7,42,0.9090909090909091,1.0,0.9523809523809523,22,20
Passo unico 24h,7,43,0.9090909090909091,1.0,0.9523809523809523,22,20
Passo unico 24h,7,44,0.8333333333333334,1.0,0.9090909090909091,24,20
Passo unico 24h,7,45,0.8695652173913043,1.0,0.9302325581395349,23,20
Passo unico 24h,7,46,0.9090909090909091,1.0,0.9523809523809523,22,20
Passo unico 24h,123,42,0.9090909090909091,1.0,0.9523809523809523,22,20
Passo unico 24h,123,43,0.9090909090909091,1.0,0.9523809523809523,22,20
Passo unico 24h,123,44,0.8695652173913043,1.0,0.9302325581395349,23,20
Passo unico 24h,123,45,0.9090909090909091,1.0,0.9523809523809523,22,20
Passo unico 24h,123,46,0.9090909090909091,1.0,0.9523809523809523,22,20
Janela 12h,42,42,0.8695652173913043,1.0,0.9302325581395349,23,20
Janela 12h,42,43,0.8636363636363636,0.95,0.9047619047619048,22,20
Janela 12h,42,44,0.8695652173913043,1.0,0.9302325581395349,23,20
Janela 12h,42,45,0.8695652173913043,1.0,0.9302325581395349,23,20
Janela 12h,42,46,0.8260869565217391,0.95,0.8837209302325582,23,20
Janela 12h,7,42,0.9523809523809523,1.0,0.975609756097561,21,20
Janela 12h,7,43,0.95,0.95,0.95,20,20
Janela 12h,7,44,0.9523809523809523,1.0,0.975609756097561,21,20
Janela 12h,7,45,0.9523809523809523,1.0,0.975609756097561,21,20
Janela 12h,7,46,0.95,0.95,0.95,20,20
Janela 12h,123,42,0.9523809523809523,1.0,0.975609756097561,21,20
Janela 12h,123,43,0.95,0.95,0.95,20,20
Janela 12h,123,44,0.9523809523809523,1.0,0.975609756097561,21,20
Janela 12h,123,45,0.9523809523809523,1.0,0.975609756097561,21,20
Janela 12h,123,46,0.95,0.95,0.95,20,20
Janela 30h,42,42,0.76,0.95,0.8444444444444444,25,20
Janela 30h,42,43,0.7307692307692307,0.95,0.8260869565217391,26,20
Janela 30h,42,44,0.7407407407407407,1.0,0.851063829787234,27,20
