variable,remove,review,use,N,use_pct,review_pct,remove_pct
Avg_CDOM,5933,4901,104644,115478,90.61812639636987,4.2440984429934705,5.137775160636658
Avg_Chl,5473,3239,106766,115478,92.45570584873309,2.8048632639983375,4.73943088726857
Avg_DO,3404,3558,108516,115478,93.97114601915517,3.0811063579209894,2.947747622923847
Avg_Sal,1989,4804,108685,115478,94.11749424132735,4.160099759261504,1.7224059994111431
Avg_Turb,8022,9115,98341,115478,85.1599438854154,7.893278373369819,6.946777741214777
Avg_W_Tmp1,3453,9095,102930,115478,89.13386099516791,7.875959057136424,2.990179947695665
Avg_W_Tmp2,5894,9411,100173,115478,86.7463932523944,8.149604253624068,5.104002493981538
HM0,21044,13858,80576,115478,69.7760612411022,12.000554218119468,18.22338454077833
Hmax,21042,12248,82188,115478,71.17199812951385,10.606349261331163,18.22165260915499
Hsig,21231,14295,79952,115478,69.23569857462027,12.378981277819152,18.385320147560574
Tp,22364,9788,83326,115478,72.15746722319403,8.476073364623565,19.366459412182408
