Variavel,start,end,n_points,min_value,max_value,max_abs_z,event_type
Hsig,2019-08-16 06:21:40+00:00,2019-08-16 07:51:40+00:00,4,1.61,1.76,4.655190778368914,possible_physical_event
Hsig,2019-08-16 19:21:40+00:00,2019-08-16 19:21:40+00:00,1,1.65,1.65,4.257654914893588,possible_instrumental_spike
Hsig,2019-08-17 00:21:40+00:00,2019-08-17 00:51:40+00:00,2,1.61,1.62,4.149236043036682,possible_physical_event
Hsig,2019-08-28 15:51:40+00:00,2019-08-28 15:51:40+00:00,1,1.62,1.62,4.149236043036682,possible_instrumental_spike
Hsig,2019-08-28 18:21:40+00:00,2019-08-28 18:21:40+00:00,1,1.7,1.7,4.4383530346551,possible_instrumental_spike
Hsig,2019-08-28 22:51:40+00:00,2019-08-28 22:51:40+00:00,1,1.59,1.59,4.040817171179775,possible_instrumental_spike
Hsig,2019-08-29 06:21:40+00:00,2019-08-29 06:21:40+00:00,1,1.6,1.6,4.0769567951320775,possible_instrumental_spike
Hsig,2019-11-25 22:51:40+00:00,2019-11-25 22:51:40+00:00,1,1.61,1.61,4.113096419084379,possible_instrumental_spike
Hsig,2019-11-26 00:21:40+00:00,2019-11-26 00:21:40+00:00,1,1.59,1.59,4.040817171179775,possible_instrumental_spike
Hsig,2019-11-26 12:21:40+00:00,2019-11-26 12:21:40+00:00,1,1.84,1.84,4.944307769987333,possible_instrumental_spike
Hsig,2020-03-23 23:51:40+00:00,2020-03-24 01:21:40+00:00,3,1.65,1.66,4.293794538845891,possible_physical_event
Hsig,2020-03-24 04:21:40+00:00,2020-03-24 07:51:40+00:00,8,1.61,1.92,5.233424761605751,possible_physical_event
Hsig,2020-03-24 09:21:40+00:00,2020-03-24 09:21:40+00:00,1,1.64,1.64,4.221515290941286,possible_instrumental_spike
Hsig,2020-03-24 11:51:40+00:00,2020-03-24 13:21:40+00:00,4,1.6,1.92,5.233424761605751,possible_physical_event
Hsig,2020-03-24 22:21:40+00:00,2020-03-24 22:21:40+00:00,1,1.59,1.59,4.040817171179775,possible_instrumental_spike
Hsig,2020-03-24 23:51:40+00:00,2020-03-25 02:21:40+00:00,5,1.58,2.09,5.847798368794891,possible_physical_event
Hsig,2020-03-25 05:21:40+00:00,2020-03-25 05:21:40+00:00,1,1.6,1.6,4.0769567951320775,possible_instrumental_spike
Hsig,2020-03-25 07:51:40+00:00,2020-03-25 07:51:40+00:00,1,1.61,1.61,4.113096419084379,possible_instrumental_spike
Hsig,2020-04-19 10:21:40+00:00,2020-04-19 12:51:40+00:00,6,1.61,1.92,5.233424761605751,possible_physical_event
Hsig,2020-04-19 13:51:40+00:00,2020-04-19 14:21:40+00:00,2,1.59,1.68,4.366073786750495,possible_physical_event
Hsig,2020-04-24 07:51:40+00:00,2020-04-24 07:51:40+00:00,1,1.6,1.6,4.0769567951320775,possible_instrumental_spike
Hsig,2020-04-24 19:21:40+00:00,2020-04-24 19:21:40+00:00,1,1.6,1.6,4.0769567951320775,possible_instrumental_spike
Hsig,2020-04-27 10:51:40+00:00,2020-04-27 10:51:40+00:00,1,1.62,1.62,4.149236043036682,possible_instrumental_spike
Hsig,2020-04-27 14:21:40+00:00,2020-04-27 14:21:40+00:00,1,1.64,1.64,4.221515290941286,possible_instrumental_spike
Hsig,2020-05-08 21:21:40+00:00,2020-05-09 10:21:40+00:00,26,1.6,2.24,6.389892728079427,possible_physical_event
Hsig,2020-05-09 11:21:40+00:00,2020-05-09 16:21:40+00:00,10,1.64,2.14,6.028496488556403,possible_physical_event
Hsig,2020-05-09 17:51:40+00:00,2020-05-09 17:51:40+00:00,1,1.69,1.69,4.402213410702798,possible_instrumental_spike
Hsig,2020-05-09 19:21:40+00:00,2020-05-10 03:21:40+00:00,12,1.69,2.41,7.004266335268566,possible_physical_event
Hsig,2020-05-10 08:21:40+00:00,2020-05-10 10:51:40+00:00,6,1.59,1.92,5.233424761605751,possible_physical_event
Hsig,2020-05-10 12:51:40+00:00,2020-05-10 15:51:40+00:00,7,1.58,1.8,4.799749274178124,possible_physical_event
Hsig,2020-05-10 21:51:40+00:00,2020-05-10 22:51:40+00:00,3,1.62,1.77,4.691330402321216,possible_physical_event
Hsig,2020-05-11 00:21:40+00:00,2020-05-11 00:51:40+00:00,2,1.66,1.73,4.546771906512007,possible_physical_event
Hsig,2020-05-19 13:51:40+00:00,2020-05-19 13:51:40+00:00,1,1.66,1.66,4.293794538845891,possible_instrumental_spike
Hsig,2020-05-19 16:21:40+00:00,2020-05-19 20:21:40+00:00,9,1.58,1.8,4.799749274178124,possible_physical_event
Hsig,2020-05-20 04:51:40+00:00,2020-05-20 05:51:40+00:00,3,1.6,1.68,4.366073786750495,possible_physical_event
Hsig,2020-05-29 04:51:40+00:00,2020-05-29 04:51:40+00:00,1,1.58,1.58,4.004677547227472,possible_instrumental_spike
Hsig,2020-06-04 21:51:40+00:00,2020-06-04 22:51:40+00:00,3,1.66,1.99,5.486402129271868,possible_physical_event
Hsig,2020-06-04 23:51:40+00:00,2020-06-05 00:21:40+00:00,2,1.79,1.92,5.233424761605751,possible_physical_event
Hsig,2020-06-18 05:51:40+00:00,2020-06-18 05:51:40+00:00,1,1.67,1.67,4.329934162798193,possible_instrumental_spike
Hsig,2020-08-03 10:51:40+00:00,2020-08-03 10:51:40+00:00,1,1.64,1.64,4.221515290941286,possible_instrumental_spike
Hsig,2020-08-04 07:51:40+00:00,2020-08-04 07:51:40+00:00,1,1.6,1.6,4.0769567951320775,possible_instrumental_spike
Hsig,2020-08-23 16:51:40+00:00,2020-08-23 17:21:40+00:00,2,1.59,1.62,4.149236043036682,possible_physical_event
