Variavel,Número total de observações,Média (μ),Desvio padrão (σ),Quantidade de GOOD,Quantidade de SUSPECT,Quantidade de BAD,Percentual de observações BAD,Valor mínimo observado,Valor máximo observado,Limite inferior Dixon 4σ,Limite superior Dixon 4σ,Interpretação
Hsig,97233,0.4718873222054241,0.27670459474614806,95279,1348,606,0.6232451945327204,0.09,2.41,-0.6349310567791682,1.5787057011900163,Boa qualidade com poucos outliers.
Tp,97233,8.079861775323193,2.988493403498483,97212,16,5,0.005142287083603304,1.7,28.6,-3.874111838670739,20.033835389317126,Excelente qualidade dos dados.
Hmax,97233,0.7837006983225858,0.4537924349592681,95229,1368,636,0.6540989170343402,0.14,4.71,-1.0314690415144865,2.598870438159658,Boa qualidade com poucos outliers.
HM0,97233,0.5060946386514867,0.28952266607009997,95307,1359,567,0.5831353552806146,0.09,2.51,-0.6519960256289131,1.6641853029318865,Boa qualidade com poucos outliers.
Avg_Sal,114535,35.96664416990439,1.0586407568634673,114185,279,71,0.06198978478194438,0.41,37.6,31.73208114245052,40.20120719735826,Excelente qualidade dos dados.
Avg_DO,114120,4.138781370487206,0.37250419119123257,112116,792,1212,1.0620399579390116,0.04,5.63,2.648764605722276,5.628798135252136,Serie requer investigacao.
Avg_W_Tmp1,114228,27.18133242287355,1.138446915573882,114127,101,0,0.0,23.31,31.49,22.627544760578022,31.735120085169076,Excelente qualidade dos dados.
Avg_W_Tmp2,111704,27.286565476616765,1.2456245258099508,111256,438,10,0.008952230895939267,23.66,32.46,22.304067373376963,32.26906357985657,Excelente qualidade dos dados.
Avg_Turb,111227,2.8254751094608324,16.89031334311878,109961,275,991,0.8909707175416041,0.0,346.8,-64.73577826301428,70.38672848193596,Boa qualidade com poucos outliers.
Avg_Chl,111227,0.5910632310500149,0.506687332009059,110791,202,234,0.21038057306229602,0.03,58.18,-1.4356860969862213,2.617812559086251,Boa qualidade com poucos outliers.
Avg_CDOM,111227,0.9396980049808049,1.8715000092180119,110672,127,428,0.38479865500283206,-0.2,106.47,-6.546302031891242,8.425698041852852,Boa qualidade com poucos outliers.
