variavel,unidade,n_valido_bruto,cobertura_bruta_pct,cobertura_horaria_pct,media,desvio_padrao,minimo,maximo
Hsig,m,97233,84.2,82.53,0.472,0.277,0.09,2.41
Tp,s,97233,84.2,82.53,8.08,2.988,1.7,28.6
Hmax,m,97233,84.2,82.53,0.784,0.454,0.14,4.71
HM0,m,97233,84.2,82.53,0.506,0.29,0.09,2.51
Avg_Sal,psu,114535,99.18,97.13,35.967,1.059,0.41,37.6
Avg_DO,ml/L,114120,98.82,96.91,4.139,0.373,0.04,5.63
Avg_W_Tmp1,C,114228,98.92,96.95,27.181,1.138,23.31,31.49
Avg_W_Tmp2,C,111704,96.73,94.87,27.287,1.246,23.66,32.46
Avg_Turb,NTU,111227,96.32,94.47,2.825,16.89,0.0,346.8
Avg_Chl,ug/L,111227,96.32,94.47,0.591,0.507,0.03,58.18
Avg_CDOM,ppb,111227,96.32,94.47,0.94,1.872,-0.2,106.47
