,,precision,precision,recall,recall,f1,f1,detected,detected
,,mean,std,mean,std,mean,std,mean,std
method,model_seed,,,,,,,,
GPD-POT (cauda),7,0.40496598639455783,0.0074349104547609315,1.0,0.0,0.5764462306661795,0.007502763924755982,49.4,0.8944271909999161
GPD-POT (cauda),42,0.427459142769041,0.00760217503982269,1.0,0.0,0.5988772713970255,0.007473100755680542,46.8,0.8366600265340757
GPD-POT (cauda),123,0.41673903603994794,0.006141544475801777,1.0,0.0,0.5882861905307223,0.0061185607268305995,48.0,0.7071067811865478
Isolation Forest,7,0.015895685158843053,0.005826876421962212,0.06000000000000001,0.022360679774997897,0.02513251213139231,0.009244696579326191,75.4,0.8944271909999157
Isolation Forest,42,0.01847099705960973,0.006308983347403741,0.08,0.027386127875258303,0.03001234350202786,0.010255102259283813,86.6,0.5477225575051667
Isolation Forest,123,0.014754591990364347,0.005555331143479401,0.06000000000000001,0.0223606797749979,0.023684721413317802,0.00889965450782535,81.4,0.5477225575051667
"LSTM-Peak (artigo, H/T/d fixos)",7,1.0,0.0,0.6,0.07905694150420947,0.7475504571329998,0.06201155259037121,12.0,1.5811388300841898
"LSTM-Peak (artigo, H/T/d fixos)",42,1.0,0.0,0.6,0.07905694150420947,0.7475504571329998,0.06201155259037121,12.0,1.5811388300841898
"LSTM-Peak (artigo, H/T/d fixos)",123,1.0,0.0,0.61,0.06519202405202648,0.7561526076706342,0.04975923301171651,12.2,1.3038404810405297
Robusto mediana/MAD (Student-t),7,0.8333333333333334,0.0,1.0,0.0,0.909090909090909,0.0,24.0,0.0
Robusto mediana/MAD (Student-t),42,0.8,0.0,1.0,0.0,0.888888888888889,0.0,25.0,0.0
Robusto mediana/MAD (Student-t),123,0.909090909090909,0.0,1.0,0.0,0.9523809523809523,0.0,22.0,0.0
Spike tradicional robusto,7,0.2859264752840353,0.00875446580799986,1.0,0.0,0.4446435958050937,0.010563115389876507,70.0,2.1213203435596424
Spike tradicional robusto,42,0.2859264752840353,0.00875446580799986,1.0,0.0,0.4446435958050937,0.010563115389876507,70.0,2.1213203435596424
Spike tradicional robusto,123,0.2859264752840353,0.00875446580799986,1.0,0.0,0.4446435958050937,0.010563115389876507,70.0,2.1213203435596424
VAE-LSTM,7,0.032470231463058864,0.001340862925101636,0.99,0.022360679774997918,0.06287751217656888,0.0025582303204221848,610.2,12.89185789558664
VAE-LSTM,42,0.03172408936543654,0.0005684745822692269,1.0,0.0,0.06149676393982274,0.0010685529926804046,630.6,11.458621208504972
VAE-LSTM,123,0.029898288701042053,0.00033104857652437644,1.0,0.0,0.05806050243845438,0.0006241515957802548,669.0,7.3824115301167
