model_seed,anomaly_seed,method,precision,recall,f1,detected,true_anomalies
42,42,"LSTM-Peak (artigo, H/T/d fixos)",1.0,0.6,0.75,12,20
42,42,Robusto mediana/MAD (Student-t),0.8,1.0,0.8888888888888888,25,20
42,42,GPD-POT (cauda),0.43478260869565216,1.0,0.6060606060606061,46,20
42,42,Spike tradicional robusto,0.2777777777777778,1.0,0.43478260869565216,72,20
42,42,Isolation Forest,0.011494252873563218,0.05,0.018691588785046728,87,20
42,42,VAE-LSTM,0.031545741324921134,1.0,0.06116207951070336,634,20
42,43,"LSTM-Peak (artigo, H/T/d fixos)",1.0,0.55,0.7096774193548387,11,20
42,43,Robusto mediana/MAD (Student-t),0.8,1.0,0.8888888888888888,25,20
42,43,GPD-POT (cauda),0.43478260869565216,1.0,0.6060606060606061,46,20
42,43,Spike tradicional robusto,0.2857142857142857,1.0,0.4444444444444444,70,20
42,43,Isolation Forest,0.023255813953488372,0.1,0.03773584905660377,86,20
42,43,VAE-LSTM,0.032,1.0,0.06201550387596899,625,20
42,44,"LSTM-Peak (artigo, H/T/d fixos)",1.0,0.7,0.8235294117647058,14,20
42,44,Robusto mediana/MAD (Student-t),0.8,1.0,0.8888888888888888,25,20
42,44,GPD-POT (cauda),0.425531914893617,1.0,0.5970149253731343,47,20
42,44,Spike tradicional robusto,0.2777777777777778,1.0,0.43478260869565216,72,20
42,44,Isolation Forest,0.022988505747126436,0.1,0.037383177570093455,87,20
42,44,VAE-LSTM,0.03225806451612903,1.0,0.0625,620,20
42,45,"LSTM-Peak (artigo, H/T/d fixos)",1.0,0.5,0.6666666666666666,10,20
42,45,Robusto mediana/MAD (Student-t),0.8,1.0,0.8888888888888888,25,20
42,45,GPD-POT (cauda),0.425531914893617,1.0,0.5970149253731343,47,20
42,45,Spike tradicional robusto,0.2898550724637681,1.0,0.449438202247191,69,20
42,45,Isolation Forest,0.011627906976744186,0.05,0.018867924528301886,86,20
42,45,VAE-LSTM,0.032,1.0,0.06201550387596899,625,20
42,46,"LSTM-Peak (artigo, H/T/d fixos)",1.0,0.65,0.7878787878787878,13,20
42,46,Robusto mediana/MAD (Student-t),0.8,1.0,0.8888888888888888,25,20
42,46,GPD-POT (cauda),0.4166666666666667,1.0,0.5882352941176471,48,20
42,46,Spike tradicional robusto,0.29850746268656714,1.0,0.45977011494252873,67,20
42,46,Isolation Forest,0.022988505747126436,0.1,0.037383177570093455,87,20
42,46,VAE-LSTM,0.030816640986132512,1.0,0.059790732436472344,649,20
7,42,"LSTM-Peak (artigo, H/T/d fixos)",1.0,0.6,0.75,12,20
7,42,Robusto mediana/MAD (Student-t),0.8333333333333334,1.0,0.9090909090909091,24,20
7,42,GPD-POT (cauda),0.4166666666666667,1.0,0.5882352941176471,48,20
7,42,Spike tradicional robusto,0.2777777777777778,1.0,0.43478260869565216,72,20
7,42,Isolation Forest,0.013157894736842105,0.05,0.020833333333333332,76,20
7,42,VAE-LSTM,0.032467532467532464,1.0,0.06289308176100629,616,20
7,43,"LSTM-Peak (artigo, H/T/d fixos)",1.0,0.55,0.7096774193548387,11,20
7,43,Robusto mediana/MAD (Student-t),0.8333333333333334,1.0,0.9090909090909091,24,20
7,43,GPD-POT (cauda),0.40816326530612246,1.0,0.5797101449275363,49,20
7,43,Spike tradicional robusto,0.2857142857142857,1.0,0.4444444444444444,70,20
7,43,Isolation Forest,0.013513513513513514,0.05,0.02127659574468085,74,20
7,43,VAE-LSTM,0.03316749585406302,1.0,0.06420545746388442,603,20
7,44,"LSTM-Peak (artigo, H/T/d fixos)",1.0,0.7,0.8235294117647058,14,20
7,44,Robusto mediana/MAD (Student-t),0.8333333333333334,1.0,0.9090909090909091,24,20
7,44,GPD-POT (cauda),0.4,1.0,0.5714285714285714,50,20
7,44,Spike tradicional robusto,0.2777777777777778,1.0,0.43478260869565216,72,20
7,44,Isolation Forest,0.013157894736842105,0.05,0.020833333333333332,76,20
7,44,VAE-LSTM,0.033112582781456956,1.0,0.0641025641025641,604,20
7,45,"LSTM-Peak (artigo, H/T/d fixos)",1.0,0.5,0.6666666666666666,10,20
7,45,Robusto mediana/MAD (Student-t),0.8333333333333334,1.0,0.9090909090909091,24,20
7,45,GPD-POT (cauda),0.4,1.0,0.5714285714285714,50,20
7,45,Spike tradicional robusto,0.2898550724637681,1.0,0.449438202247191,69,20
7,45,Isolation Forest,0.013333333333333334,0.05,0.021052631578947368,75,20
7,45,VAE-LSTM,0.033444816053511704,1.0,0.06472491909385113,598,20
7,46,"LSTM-Peak (artigo, H/T/d fixos)",1.0,0.65,0.7878787878787878,13,20
7,46,Robusto mediana/MAD (Student-t),0.8333333333333334,1.0,0.9090909090909091,24,20
7,46,GPD-POT (cauda),0.4,1.0,0.5714285714285714,50,20
7,46,Spike tradicional robusto,0.29850746268656714,1.0,0.45977011494252873,67,20
7,46,Isolation Forest,0.02631578947368421,0.1,0.041666666666666664,76,20
7,46,VAE-LSTM,0.03015873015873016,0.95,0.05846153846153846,630,20
123,42,"LSTM-Peak (artigo, H/T/d fixos)",1.0,0.6,0.75,12,20
123,42,Robusto mediana/MAD (Student-t),0.9090909090909091,1.0,0.9523809523809523,22,20
123,42,GPD-POT (cauda),0.425531914893617,1.0,0.5970149253731343,47,20
123,42,Spike tradicional robusto,0.2777777777777778,1.0,0.43478260869565216,72,20
123,42,Isolation Forest,0.012195121951219513,0.05,0.0196078431372549,82,20
123,42,VAE-LSTM,0.029585798816568046,1.0,0.05747126436781609,676,20
123,43,"LSTM-Peak (artigo, H/T/d fixos)",1.0,0.55,0.7096774193548387,11,20
123,43,Robusto mediana/MAD (Student-t),0.9090909090909091,1.0,0.9523809523809523,22,20
123,43,GPD-POT (cauda),0.4166666666666667,1.0,0.5882352941176471,48,20
123,43,Spike tradicional robusto,0.2857142857142857,1.0,0.4444444444444444,70,20
123,43,Isolation Forest,0.024691358024691357,0.1,0.039603960396039604,81,20
123,43,VAE-LSTM,0.030257186081694403,1.0,0.05873715124816446,661,20
123,44,"LSTM-Peak (artigo, H/T/d fixos)",1.0,0.7,0.8235294117647058,14,20
123,44,Robusto mediana/MAD (Student-t),0.9090909090909091,1.0,0.9523809523809523,22,20
123,44,GPD-POT (cauda),0.4166666666666667,1.0,0.5882352941176471,48,20
123,44,Spike tradicional robusto,0.2777777777777778,1.0,0.43478260869565216,72,20
123,44,Isolation Forest,0.012195121951219513,0.05,0.0196078431372549,82,20
123,44,VAE-LSTM,0.029717682020802376,1.0,0.05772005772005772,673,20
123,45,"LSTM-Peak (artigo, H/T/d fixos)",1.0,0.55,0.7096774193548387,11,20
123,45,Robusto mediana/MAD (Student-t),0.9090909090909091,1.0,0.9523809523809523,22,20
123,45,GPD-POT (cauda),0.4166666666666667,1.0,0.5882352941176471,48,20
123,45,Spike tradicional robusto,0.2898550724637681,1.0,0.449438202247191,69,20
123,45,Isolation Forest,0.012345679012345678,0.05,0.019801980198019802,81,20
123,45,VAE-LSTM,0.030257186081694403,1.0,0.05873715124816446,661,20
123,46,"LSTM-Peak (artigo, H/T/d fixos)",1.0,0.65,0.7878787878787878,13,20
123,46,Robusto mediana/MAD (Student-t),0.9090909090909091,1.0,0.9523809523809523,22,20
123,46,GPD-POT (cauda),0.40816326530612246,1.0,0.5797101449275363,49,20
123,46,Spike tradicional robusto,0.29850746268656714,1.0,0.45977011494252873,67,20
123,46,Isolation Forest,0.012345679012345678,0.05,0.019801980198019802,81,20
123,46,VAE-LSTM,0.02967359050445104,1.0,0.05763688760806916,674,20
