,,precision,precision,recall,recall,f1,f1
,,mean,std,mean,std,mean,std
method,alpha,,,,,,
GPD-POT (cauda),0.001,0.9090909090909091,0.0,1.0,0.0,0.9523809523809523,0.0
GPD-POT (cauda),0.005,0.5718495535059003,0.03032941910770248,1.0,0.0,0.7271709129554785,0.024585278471794758
GPD-POT (cauda),0.01,0.4163880550678489,0.011554025971053407,1.0,0.0,0.5878698975313091,0.011518558524537523
GPD-POT (cauda),0.025,0.2251114350479579,0.014728097632039985,1.0,0.0,0.3672754129673288,0.019610522629555628
GPD-POT (cauda),0.05,0.13445076553002766,0.0024619665155484,1.0,0.0,0.23702459893835168,0.003826803084852884
GPD-POT (cauda),0.1,0.07165302447441611,0.0004531892292841484,1.0,0.0,0.1337239869887539,0.0007892814379902595
Robusto mediana/MAD (Student-t),0.001,1.0,0.0,0.8533333333333334,0.12742878496672264,0.9156235735183104,0.08171846196157281
Robusto mediana/MAD (Student-t),0.005,0.9515873015873015,0.0011617858011292034,0.9833333333333333,0.024397501823713336,0.9670731707317073,0.012496281421901968
Robusto mediana/MAD (Student-t),0.01,0.8474747474747475,0.047247005249081944,1.0,0.0,0.9167869167869167,0.0274152190849068
Robusto mediana/MAD (Student-t),0.025,0.4473064252456718,0.020298164565569446,1.0,0.0,0.6178673239450945,0.019505089194204905
Robusto mediana/MAD (Student-t),0.05,0.20121137337430237,0.01080183362705089,1.0,0.0,0.33488840955162114,0.014976024558555826
Robusto mediana/MAD (Student-t),0.1,0.0899736141168828,0.005865273775146778,1.0,0.0,0.16504379542453426,0.00983624971547622
VAE-LSTM,0.001,0.0524616064577339,0.00303771141417919,0.99,0.02070196678027064,0.09962980580802952,0.005517750965266296
VAE-LSTM,0.005,0.03649370989502033,0.0019388413442514637,0.99,0.02070196678027064,0.07038820402609072,0.0036385132151319595
VAE-LSTM,0.01,0.031364203176512485,0.001374026643106523,0.9966666666666666,0.012909944487358065,0.06081159285161533,0.0025888987597270014
VAE-LSTM,0.025,0.02552286608789818,0.0011936236123602903,1.0,0.0,0.04977285808680814,0.0022692894448783766
VAE-LSTM,0.05,0.02185057084198434,0.0008922309942017081,1.0,0.0,0.04276527299558187,0.0017088725385013036
VAE-LSTM,0.1,0.018215250612138613,0.0007239737966012335,1.0,0.0,0.03577785498537088,0.0013965248903053777
