model_seed,anomaly_seed,method,alpha,precision,recall,f1,detected,true_anomalies
42,42,Robusto mediana/MAD (Student-t),0.001,1.0,0.95,0.9743589743589743,19,20
42,42,Robusto mediana/MAD (Student-t),0.005,0.9523809523809523,1.0,0.975609756097561,21,20
42,42,Robusto mediana/MAD (Student-t),0.01,0.8,1.0,0.8888888888888888,25,20
42,42,Robusto mediana/MAD (Student-t),0.025,0.46511627906976744,1.0,0.6349206349206349,43,20
42,42,Robusto mediana/MAD (Student-t),0.05,0.1941747572815534,1.0,0.3252032520325203,103,20
42,42,Robusto mediana/MAD (Student-t),0.1,0.08658008658008658,1.0,0.1593625498007968,231,20
42,42,GPD-POT (cauda),0.001,0.9090909090909091,1.0,0.9523809523809523,22,20
42,42,GPD-POT (cauda),0.005,0.5882352941176471,1.0,0.7407407407407407,34,20
42,42,GPD-POT (cauda),0.01,0.43478260869565216,1.0,0.6060606060606061,46,20
42,42,GPD-POT (cauda),0.025,0.23809523809523808,1.0,0.38461538461538464,84,20
42,42,GPD-POT (cauda),0.05,0.136986301369863,1.0,0.24096385542168675,146,20
42,42,GPD-POT (cauda),0.1,0.0711743772241993,1.0,0.132890365448505,281,20
42,42,VAE-LSTM,0.001,0.05449591280653951,1.0,0.10335917312661498,367,20
42,42,VAE-LSTM,0.005,0.03773584905660377,1.0,0.07272727272727272,530,20
42,42,VAE-LSTM,0.01,0.031545741324921134,1.0,0.06116207951070336,634,20
42,42,VAE-LSTM,0.025,0.02518891687657431,1.0,0.04914004914004914,794,20
42,42,VAE-LSTM,0.05,0.021551724137931036,1.0,0.04219409282700422,928,20
42,42,VAE-LSTM,0.1,0.01809954751131222,1.0,0.035555555555555556,1105,20
42,43,Robusto mediana/MAD (Student-t),0.001,1.0,0.65,0.7878787878787878,13,20
42,43,Robusto mediana/MAD (Student-t),0.005,0.9523809523809523,1.0,0.975609756097561,21,20
42,43,Robusto mediana/MAD (Student-t),0.01,0.8,1.0,0.8888888888888888,25,20
42,43,Robusto mediana/MAD (Student-t),0.025,0.46511627906976744,1.0,0.6349206349206349,43,20
42,43,Robusto mediana/MAD (Student-t),0.05,0.18691588785046728,1.0,0.31496062992125984,107,20
42,43,Robusto mediana/MAD (Student-t),0.1,0.08620689655172414,1.0,0.15873015873015872,232,20
42,43,GPD-POT (cauda),0.001,0.9090909090909091,1.0,0.9523809523809523,22,20
42,43,GPD-POT (cauda),0.005,0.5882352941176471,1.0,0.7407407407407407,34,20
42,43,GPD-POT (cauda),0.01,0.43478260869565216,1.0,0.6060606060606061,46,20
42,43,GPD-POT (cauda),0.025,0.2222222222222222,1.0,0.36363636363636365,90,20
42,43,GPD-POT (cauda),0.05,0.13245033112582782,1.0,0.23391812865497075,151,20
42,43,GPD-POT (cauda),0.1,0.07168458781362007,1.0,0.13377926421404682,279,20
42,43,VAE-LSTM,0.001,0.05420054200542006,1.0,0.10282776349614396,369,20
42,43,VAE-LSTM,0.005,0.03913894324853229,1.0,0.07532956685499058,511,20
42,43,VAE-LSTM,0.01,0.032,1.0,0.06201550387596899,625,20
42,43,VAE-LSTM,0.025,0.026281208935611037,1.0,0.05121638924455826,761,20
42,43,VAE-LSTM,0.05,0.02254791431792559,1.0,0.044101433296582136,887,20
42,43,VAE-LSTM,0.1,0.01881467544684854,1.0,0.03693444136657433,1063,20
42,44,Robusto mediana/MAD (Student-t),0.001,1.0,0.95,0.9743589743589743,19,20
42,44,Robusto mediana/MAD (Student-t),0.005,0.9523809523809523,1.0,0.975609756097561,21,20
42,44,Robusto mediana/MAD (Student-t),0.01,0.8,1.0,0.8888888888888888,25,20
42,44,Robusto mediana/MAD (Student-t),0.025,0.45454545454545453,1.0,0.625,44,20
42,44,Robusto mediana/MAD (Student-t),0.05,0.19047619047619047,1.0,0.32,105,20
42,44,Robusto mediana/MAD (Student-t),0.1,0.08658008658008658,1.0,0.1593625498007968,231,20
42,44,GPD-POT (cauda),0.001,0.9090909090909091,1.0,0.9523809523809523,22,20
42,44,GPD-POT (cauda),0.005,0.5714285714285714,1.0,0.7272727272727273,35,20
42,44,GPD-POT (cauda),0.01,0.425531914893617,1.0,0.5970149253731343,47,20
42,44,GPD-POT (cauda),0.025,0.22727272727272727,1.0,0.37037037037037035,88,20
42,44,GPD-POT (cauda),0.05,0.1342281879194631,1.0,0.23668639053254437,149,20
42,44,GPD-POT (cauda),0.1,0.07194244604316546,1.0,0.1342281879194631,278,20
42,44,VAE-LSTM,0.001,0.05221932114882506,1.0,0.09925558312655088,383,20
42,44,VAE-LSTM,0.005,0.03780718336483932,1.0,0.07285974499089254,529,20
42,44,VAE-LSTM,0.01,0.03225806451612903,1.0,0.0625,620,20
42,44,VAE-LSTM,0.025,0.025974025974025976,1.0,0.05063291139240506,770,20
42,44,VAE-LSTM,0.05,0.0223463687150838,1.0,0.04371584699453552,895,20
42,44,VAE-LSTM,0.1,0.0186219739292365,1.0,0.03656307129798903,1074,20
42,45,Robusto mediana/MAD (Student-t),0.001,1.0,0.9,0.9473684210526315,18,20
42,45,Robusto mediana/MAD (Student-t),0.005,0.9523809523809523,1.0,0.975609756097561,21,20
42,45,Robusto mediana/MAD (Student-t),0.01,0.8,1.0,0.8888888888888888,25,20
42,45,Robusto mediana/MAD (Student-t),0.025,0.45454545454545453,1.0,0.625,44,20
42,45,Robusto mediana/MAD (Student-t),0.05,0.18518518518518517,1.0,0.3125,108,20
42,45,Robusto mediana/MAD (Student-t),0.1,0.08583690987124463,1.0,0.15810276679841898,233,20
42,45,GPD-POT (cauda),0.001,0.9090909090909091,1.0,0.9523809523809523,22,20
42,45,GPD-POT (cauda),0.005,0.5714285714285714,1.0,0.7272727272727273,35,20
42,45,GPD-POT (cauda),0.01,0.425531914893617,1.0,0.5970149253731343,47,20
42,45,GPD-POT (cauda),0.025,0.21739130434782608,1.0,0.35714285714285715,92,20
42,45,GPD-POT (cauda),0.05,0.13157894736842105,1.0,0.23255813953488372,152,20
42,45,GPD-POT (cauda),0.1,0.07092198581560284,1.0,0.13245033112582782,282,20
42,45,VAE-LSTM,0.001,0.052770448548812667,1.0,0.10025062656641603,379,20
42,45,VAE-LSTM,0.005,0.03773584905660377,1.0,0.07272727272727272,530,20
42,45,VAE-LSTM,0.01,0.032,1.0,0.06201550387596899,625,20
42,45,VAE-LSTM,0.025,0.02677376171352075,1.0,0.05215123859191656,747,20
42,45,VAE-LSTM,0.05,0.02306805074971165,1.0,0.04509582863585118,867,20
42,45,VAE-LSTM,0.1,0.019249278152069296,1.0,0.03777148253068933,1039,20
42,46,Robusto mediana/MAD (Student-t),0.001,1.0,0.9,0.9473684210526315,18,20
42,46,Robusto mediana/MAD (Student-t),0.005,0.95,0.95,0.95,20,20
42,46,Robusto mediana/MAD (Student-t),0.01,0.8,1.0,0.8888888888888888,25,20
