Variavel,start,end,n_points,min_value,max_value,max_q,event_type
Hsig,2019-08-05 18:51:40+00:00,2019-08-05 18:51:40+00:00,1,0.48,0.48,0.6363636363636365,possible_instrumental_spike
Hsig,2019-10-22 07:51:40+00:00,2019-10-22 07:51:40+00:00,1,0.21,0.21,0.6000000000000001,possible_instrumental_spike
Hsig,2019-10-29 19:21:40+00:00,2019-10-29 19:21:40+00:00,1,0.33,0.33,0.6249999999999998,possible_instrumental_spike
Hsig,2019-11-28 10:21:40+00:00,2019-11-28 10:21:40+00:00,1,0.45,0.45,0.6153846153846158,possible_instrumental_spike
Hsig,2019-12-18 13:51:40+00:00,2019-12-18 13:51:40+00:00,1,0.31,0.31,0.5555555555555555,possible_instrumental_spike
Hsig,2020-02-01 13:51:40+00:00,2020-02-01 13:51:40+00:00,1,0.33,0.33,0.5454545454545454,possible_instrumental_spike
Hsig,2020-02-21 09:51:40+00:00,2020-02-21 09:51:40+00:00,1,0.44,0.44,0.5294117647058826,possible_instrumental_spike
Hsig,2020-03-19 08:21:40+00:00,2020-03-19 08:21:40+00:00,1,0.54,0.54,0.6250000000000004,possible_instrumental_spike
Hsig,2020-05-07 05:51:40+00:00,2020-05-07 05:51:40+00:00,1,0.81,0.81,0.52,possible_instrumental_spike
Hsig,2020-05-22 22:21:40+00:00,2020-05-22 22:21:40+00:00,1,0.75,0.75,0.545454545454546,possible_instrumental_spike
Hsig,2020-10-17 15:21:40+00:00,2020-10-17 15:21:40+00:00,1,0.29,0.29,0.5999999999999998,possible_instrumental_spike
Hsig,2020-12-07 09:21:40+00:00,2020-12-07 09:21:40+00:00,1,0.26,0.26,0.5454545454545454,possible_instrumental_spike
Hsig,2020-12-12 21:51:40+00:00,2020-12-12 21:51:40+00:00,1,0.32,0.32,0.6000000000000006,possible_instrumental_spike
Hsig,2020-12-20 05:51:40+00:00,2020-12-20 05:51:40+00:00,1,0.27,0.27,0.6000000000000003,possible_instrumental_spike
Hsig,2020-12-29 01:51:40+00:00,2020-12-29 01:51:40+00:00,1,0.36,0.36,0.6250000000000002,possible_instrumental_spike
Hsig,2021-01-05 07:21:40+00:00,2021-01-05 07:21:40+00:00,1,0.38,0.38,0.5833333333333334,possible_instrumental_spike
Hsig,2021-01-26 09:21:40+00:00,2021-01-26 09:21:40+00:00,1,0.62,0.62,0.5384615384615381,possible_instrumental_spike
Hsig,2021-02-11 02:21:40+00:00,2021-02-11 02:21:40+00:00,1,0.39,0.39,0.5333333333333333,possible_instrumental_spike
Hsig,2021-03-24 12:21:40+00:00,2021-03-24 12:21:40+00:00,1,0.23,0.23,0.5454545454545451,possible_instrumental_spike
Hsig,2021-04-09 01:21:40+00:00,2021-04-09 01:21:40+00:00,1,0.9,0.9,0.5399999999999999,possible_instrumental_spike
Hsig,2021-04-14 11:21:40+00:00,2021-04-14 11:21:40+00:00,1,0.35,0.35,0.6428571428571427,possible_instrumental_spike
Hsig,2021-04-25 01:21:40+00:00,2021-04-25 01:21:40+00:00,1,0.3,0.3,0.5599999999999999,possible_instrumental_spike
Hsig,2021-05-09 17:21:40+00:00,2021-05-09 17:21:40+00:00,1,1.12,1.12,0.541666666666667,possible_instrumental_spike
Hsig,2021-06-29 01:21:40+00:00,2021-06-29 01:21:40+00:00,1,1.34,1.34,0.5714285714285718,possible_instrumental_spike
Hsig,2021-07-14 21:21:40+00:00,2021-07-14 21:21:40+00:00,1,0.65,0.65,0.6800000000000002,possible_instrumental_spike
