variable,year,N,SUSPECT,BAD,Q_median,Q_p95,BAD (%),SUSPECT (%)
Hsig,2019,6704,28,5,0.0,0.16666666666666682,0.07458233890214797,0.41766109785202865
Hsig,2020,17102,39,10,0.0,0.1538461538461538,0.0584726932522512,0.22804350368377968
Hsig,2021,16796,58,13,0.0,0.16666666666666674,0.07739938080495357,0.34532031436056204
Hsig,2022,12958,50,14,0.0,0.1666666666666659,0.10804136440808766,0.38586201574317025
Hsig,2023,16312,45,14,0.0,0.16666666666666677,0.08582638548307994,0.27587052476704266
Hsig,2024,16350,47,5,0.0,0.16666666666666638,0.03058103975535168,0.2874617737003058
Hsig,2025,11011,37,9,0.0,0.16666666666666682,0.08173644537280901,0.33602760875488147
Tp,2019,6704,45,53,0.0,0.1666666666666668,0.7905727923627685,0.6712410501193318
Tp,2020,17102,101,136,0.0,0.16666666666666619,0.7952286282306164,0.5905742018477371
Tp,2021,16796,118,141,0.0,0.15999999999999986,0.8394855918075732,0.70254822576804
Tp,2022,12958,71,118,0.0,0.15000000000000016,0.9106343571538817,0.5479240623553018
Tp,2023,16312,102,161,0.0,0.142857142857143,0.9870034330554194,0.6253065228052967
Tp,2024,16350,106,182,0.0,0.1538461538461539,1.1131498470948011,0.6483180428134556
Tp,2025,11011,71,89,0.0,0.13680926916221042,0.8082826264644446,0.6448097357188266
Hmax,2019,6704,37,29,0.0,0.20833333333333345,0.43257756563245825,0.551909307875895
Hmax,2020,17102,85,54,0.0,0.18181818181818196,0.3157525435621565,0.4970178926441352
Hmax,2021,16796,133,48,0.0,0.19047619047619035,0.2857823291259824,0.7918552036199095
Hmax,2022,12958,75,40,0.0,0.19230769230769204,0.3086896125945362,0.5787930236147554
Hmax,2023,16312,90,68,0.0,0.18750000000000014,0.41687101520353115,0.5517410495340853
Hmax,2024,16350,79,52,0.0,0.19047619047619024,0.3180428134556575,0.4831804281345566
Hmax,2025,11011,59,35,0.0,0.19047619047619035,0.3178639542275906,0.5358278085550813
HM0,2019,6704,32,2,0.0,0.15789473684210545,0.029832935560859187,0.477326968973747
HM0,2020,17102,47,7,0.0,0.15000000000000016,0.04093088527657584,0.27482165828558064
HM0,2021,16796,55,13,0.0,0.1666666666666659,0.07739938080495357,0.3274589187901881
HM0,2022,12958,41,14,0.0,0.1578947368421054,0.10804136440808766,0.31640685290939957
HM0,2023,16312,46,7,0.0,0.16666666666666655,0.04291319274153997,0.2820009808729769
HM0,2024,16350,55,8,0.0,0.15789473684210542,0.04892966360856269,0.3363914373088685
HM0,2025,11011,32,7,0.0,0.16666666666666682,0.06357279084551812,0.29061847243665423
Avg_Sal,2019,6715,3,10,0.0,0.04626118067978325,0.14892032762472077,0.044676098287416234
Avg_Sal,2020,17074,24,14,0.0,0.05769230769230967,0.08199601733630081,0.14056460114794425
Avg_Sal,2021,16827,22,14,0.0,0.04166666666668764,0.08319961965888156,0.13074225946395673
Avg_Sal,2022,15076,8,5,0.0,0.03808674882304113,0.03316529583443884,0.05306447333510215
Avg_Sal,2023,16392,12,15,0.0,0.041666666666679834,0.09150805270863836,0.07320644216691069
Avg_Sal,2024,16290,29,24,0.0,0.05555555555554459,0.14732965009208104,0.1780233271945979
Avg_Sal,2025,16648,27,45,0.0,0.04861191288375532,0.27030273906775587,0.16218164344065353
Avg_Sal,2026,9513,25,17,0.0,0.07142857142858573,0.17870282770945023,0.26279827604330913
Avg_DO,2019,6704,20,16,0.0,0.1363636363636336,0.2386634844868735,0.29832935560859186
Avg_DO,2020,17053,35,26,0.0,0.12499999999999722,0.1524658417873688,0.2052424793291503
Avg_DO,2021,16772,36,14,0.0,0.09090909090909678,0.08347245409015025,0.21464345337467208
Avg_DO,2022,15063,60,31,0.0,0.12499999999999942,0.2058022970191861,0.39832702648874724
Avg_DO,2023,16232,22,4,0.0,0.11111111111110891,0.02464268112370626,0.1355347461803844
Avg_DO,2024,16206,34,13,0.0,0.11111111111110891,0.08021720350487474,0.20979883993582624
Avg_DO,2025,16579,72,40,0.0,0.1333333333333361,0.24126907533626876,0.4342843356052838
Avg_DO,2026,9511,22,13,0.0,0.13636363636363766,0.13668383976448323,0.231311113447587
Avg_W_Tmp1,2019,6700,3,4,0.0,0.05561868686869308,0.05970149253731343,0.04477611940298507
Avg_W_Tmp1,2020,17072,16,7,0.0,0.06451612903225622,0.041002811621368325,0.09372071227741331
Avg_W_Tmp1,2021,16771,18,13,0.0,0.055555555555554456,0.0775147576173156,0.10732812593166775
Avg_W_Tmp1,2022,15047,30,6,0.0,0.075853632592276,0.03987505815112647,0.19937529075563235
Avg_W_Tmp1,2023,16275,15,5,0.0,0.059014308426079444,0.030721966205837174,0.09216589861751152
