variable,season,N,SUSPECT,BAD,Q_median,Q_p95,BAD (%),SUSPECT (%)
Hsig,inverno,26223,64,17,0.0,0.1666666666666659,0.06482858559280022,0.2440605575258361
Hsig,outono,21994,60,17,0.0,0.16666666666666619,0.07729380740201873,0.27280167318359555
Hsig,primavera,24273,94,21,0.0,0.16666666666666682,0.08651588184402423,0.38726156634944175
Hsig,verao,24743,86,15,0.0,0.16666666666666635,0.0606232065634725,0.347573050963909
Tp,inverno,26223,170,235,0.0,0.15789473684210528,0.8961598596651794,0.6482858559280021
Tp,outono,21994,118,209,0.0,0.1555555555555554,0.9502591615895244,0.5365099572610712
Tp,primavera,24273,182,233,0.0,0.1666666666666668,0.9599143080789354,0.7498043093148766
Tp,verao,24743,144,203,0.0,0.13207547169811337,0.8204340621589945,0.5819827830093359
Hmax,inverno,26223,130,49,0.0,0.1875000000000001,0.18685886435571827,0.4957480074743546
Hmax,outono,21994,102,73,0.0,0.18749999999999986,0.33190870237337455,0.4637628444121124
Hmax,primavera,24273,153,72,0.0,0.19230769230769248,0.29662588060808304,0.6303299962921765
Hmax,verao,24743,173,132,0.0,0.19230769230769246,0.5334842177585579,0.6991876490320494
HM0,inverno,26223,73,17,0.0,0.15384615384615397,0.06482858559280022,0.2783815734279068
HM0,outono,21994,62,14,0.0,0.15940909090908958,0.06365372374283895,0.2818950622897154
HM0,primavera,24273,97,16,0.0,0.16666666666666682,0.0659168623573518,0.39962097804144525
HM0,verao,24743,76,11,0.0,0.15384615384615397,0.0444570181465465,0.307157579921594
Avg_Sal,inverno,28874,12,9,0.0,0.035714285714287024,0.031169910646256148,0.041559880861674864
Avg_Sal,outono,28434,34,41,0.0,0.051608602915040706,0.1441935710768798,0.11957515650277836
Avg_Sal,primavera,28382,15,27,0.0,0.037037037037055555,0.09513071665139877,0.05285039813966599
Avg_Sal,verao,28845,89,67,0.0,0.08333333333331853,0.23227595770497486,0.30854567516033976
Avg_DO,inverno,28788,78,39,0.0,0.13043478260869648,0.13547311379741558,0.27094622759483117
Avg_DO,outono,28302,115,50,0.0,0.12500000000000344,0.17666596000282667,0.4063317080065013
Avg_DO,primavera,28252,66,36,0.0,0.11764705882352695,0.12742460710746142,0.2336117796970126
Avg_DO,verao,28778,42,32,0.0,0.09999999999999834,0.11119605254013483,0.14594481895892697
Avg_W_Tmp1,inverno,28799,57,26,0.0,0.10714285714286077,0.09028091253168513,0.19792353901177123
Avg_W_Tmp1,outono,28355,33,18,0.0,0.06666666666667614,0.06348086757185682,0.11638159054840416
Avg_W_Tmp1,primavera,28272,18,15,0.0,0.04761904761904439,0.05305602716468591,0.0636672325976231
Avg_W_Tmp1,verao,28802,19,6,0.0,0.03999999999999915,0.02083188667453649,0.06596764113603222
Avg_W_Tmp2,inverno,26304,36,11,0.0,0.0909090909091056,0.041818734793187345,0.13686131386861314
Avg_W_Tmp2,outono,28325,25,9,0.0,0.058777573529402924,0.03177405119152692,0.088261253309797
Avg_W_Tmp2,primavera,28271,10,9,0.0,0.04166666666667283,0.031834742315446925,0.035371935906052136
Avg_W_Tmp2,verao,28804,9,1,0.0,0.03571428571428695,0.0034717400361060965,0.031245660324954867
Avg_Turb,inverno,28768,188,569,0.0,0.18749999999999986,1.9778921023359288,0.6535038932146829
Avg_Turb,outono,28305,184,639,0.0,0.21731268181460753,2.257551669316375,0.6500618265324147
Avg_Turb,primavera,25815,178,534,0.0,0.19999999999999993,2.0685647879140037,0.6895215959713344
Avg_Turb,verao,28339,177,696,0.0,0.21874999999999997,2.4559793923568227,0.6245809661597093
Avg_Chl,inverno,28768,105,118,0.0,0.1388888888888888,0.4101779755283648,0.3649888765294772
Avg_Chl,outono,28305,105,106,0.0,0.13576061937643832,0.37449213919802155,0.37095919448860626
Avg_Chl,primavera,25815,80,107,0.0,0.12500000000000017,0.4144877009490606,0.30989734650397055
Avg_Chl,verao,28339,88,135,0.0,0.1142857142857144,0.4763753131726596,0.31052613006810403
Avg_CDOM,inverno,28768,97,191,0.0,0.07692307692307698,0.6639321468298109,0.3371802002224694
Avg_CDOM,outono,28305,64,179,0.0,0.07451630735212765,0.6323971029853382,0.22610846140257904
Avg_CDOM,primavera,25815,85,162,0.0,0.08980521123197492,0.6275421266705404,0.3292659306604687
Avg_CDOM,verao,28339,94,200,0.0,0.090909090909091,0.7057412047002364,0.33169836620911114
