variable,month,N,SUSPECT,BAD,Q_median,Q_p95,BAD (%),SUSPECT (%)
Hsig,1,8540,30,3,0.0,0.15384615384615358,0.0351288056206089,0.351288056206089
Hsig,2,7897,22,6,0.0,0.16666666666666674,0.07597821957705458,0.2785868051158668
Hsig,3,8078,31,6,0.0,0.16666666666666682,0.07427581084426839,0.38375835602872
Hsig,4,6814,14,7,0.0,0.142857142857143,0.1027296742001761,0.2054593484003522
Hsig,5,7102,15,4,0.0,0.1538461538461536,0.056322162771050406,0.21120811039143902
Hsig,6,8147,21,4,0.0,0.15384615384615397,0.049097827421136615,0.2577635939609672
Hsig,7,8301,22,5,0.0,0.16666666666666682,0.060233706782315384,0.26502830984218767
Hsig,8,9775,21,8,0.0,0.16000000000000014,0.08184143222506395,0.21483375959079284
Hsig,9,8249,37,5,0.0,0.16666666666666682,0.060613407685780094,0.4485392168747727
Hsig,10,8383,33,10,0.0,0.16666666666666682,0.11928903733746869,0.39365382321364667
Hsig,11,7641,24,6,0.0,0.16666666666666682,0.0785237534354142,0.3140950137416568
Hsig,12,8306,34,6,0.0,0.16666666666666635,0.07223693715386467,0.40934264387189984
Tp,1,8540,45,78,0.0,0.1290322580645161,0.9133489461358314,0.5269320843091335
Tp,2,7897,42,52,0.0,0.1277686852154936,0.6584779030011396,0.531847537039382
Tp,3,8078,43,82,0.0,0.14705882352941174,1.0151027482050012,0.5323099777172567
Tp,4,6814,33,60,0.0,0.14285714285714296,0.8805400645729381,0.48429703551511594
Tp,5,7102,42,67,0.0,0.1666666666666668,0.9433962264150944,0.5913827090960293
Tp,6,8147,48,69,0.0,0.1666666666666668,0.8469375230146066,0.5891739290536394
Tp,7,8301,56,80,0.0,0.1500000000000003,0.9637393085170461,0.6746175159619323
Tp,8,9775,66,86,0.0,0.15384615384615397,0.8797953964194374,0.6751918158567775
Tp,9,8249,66,90,0.0,0.17510442773600618,1.0910413383440416,0.8000969814522972
Tp,10,8383,64,72,0.0,0.17647058823529407,0.8588810688297746,0.7634498389597996
Tp,11,7641,52,71,0.0,0.14705882352941177,0.9291977489857348,0.6805391964402565
Tp,12,8306,57,73,0.0,0.13636363636363644,0.8788827353720202,0.6862509029617144
Hmax,1,8540,61,45,0.0,0.19047619047619016,0.5269320843091335,0.7142857142857143
Hmax,2,7897,57,45,0.0,0.20000000000000015,0.5698366468279094,0.7217930859820185
Hmax,3,8078,47,29,0.0,0.19999999999999996,0.35899975241396387,0.581827184946769
Hmax,4,6814,26,22,0.0,0.18548664944013737,0.32286469034341064,0.38156736131493985
Hmax,5,7102,29,22,0.0,0.16962225274725268,0.30977189524077725,0.40833568009011545
Hmax,6,8147,29,9,0.0,0.173463268365817,0.11047011169755738,0.3559592488032405
Hmax,7,8301,43,24,0.0,0.19318181818181807,0.28912179255511383,0.5180098783279123
Hmax,8,9775,58,16,0.0,0.19354838709677408,0.1636828644501279,0.5933503836317136
Hmax,9,8249,58,21,0.0,0.19999999999999996,0.2545763122802764,0.703115529155049
Hmax,10,8383,54,32,0.0,0.1935483870967743,0.3817249194798998,0.6441608016223309
Hmax,11,7641,41,19,0.0,0.18749999999999986,0.24865855254547833,0.5365789818086638
Hmax,12,8306,55,42,0.0,0.19047619047619035,0.5056585600770528,0.6621719239104262
