Variavel,Timestamp,Valor,Q-Dixon,Flag
Hsig,2020-05-09 20:51:40+00:00,2.41,0.3595505617977531,GOOD
Hsig,2022-08-30 21:51:40+00:00,2.38,0.02531645569620256,GOOD
Hsig,2020-08-24 02:51:40+00:00,2.37,0.15841584158415856,GOOD
Hsig,2022-08-30 21:21:40+00:00,2.36,0.0,GOOD
Hsig,2022-08-31 00:21:40+00:00,2.29,0.0,GOOD
Hsig,2021-11-13 22:51:40+00:00,2.29,0.42499999999999966,SUSPECT
Hsig,2020-05-08 23:51:40+00:00,2.24,0.09375000000000007,GOOD
Hsig,2022-08-30 22:21:40+00:00,2.23,0.0,GOOD
Hsig,2020-05-10 00:51:40+00:00,2.22,0.03846153846153877,GOOD
Hsig,2020-08-24 03:21:40+00:00,2.21,0.0,GOOD
Tp,2021-04-14 11:21:40+00:00,28.6,0.9406392694063926,BAD
Tp,2024-02-16 19:51:40+00:00,28.6,0.8415094339622642,BAD
Tp,2022-09-23 05:21:40+00:00,25.0,0.9354838709677419,BAD
Tp,2024-11-10 21:51:40+00:00,25.0,0.8031088082901554,BAD
Tp,2024-10-25 09:21:40+00:00,25.0,0.6096491228070176,BAD
Tp,2023-08-10 19:51:40+00:00,18.2,0.0,GOOD
Tp,2023-08-10 16:21:40+00:00,18.2,0.0,GOOD
Tp,2023-08-10 20:51:40+00:00,18.2,0.0,GOOD
Tp,2023-08-10 18:21:40+00:00,18.2,0.0,GOOD
Tp,2019-11-04 05:51:40+00:00,18.2,0.38461538461538475,GOOD
Hmax,2022-08-30 23:51:40+00:00,4.71,0.22959183673469397,GOOD
Hmax,2022-08-31 00:51:40+00:00,4.26,0.0,GOOD
Hmax,2020-08-24 03:21:40+00:00,4.19,0.2653061224489798,GOOD
Hmax,2022-08-30 20:51:40+00:00,4.16,0.022222222222222143,GOOD
Hmax,2022-08-30 21:51:40+00:00,4.11,0.0,GOOD
Hmax,2022-06-05 10:51:40+00:00,4.07,0.40666666666666673,GOOD
Hmax,2020-06-04 23:51:40+00:00,4.04,0.1513761467889909,GOOD
Hmax,2021-11-13 23:21:40+00:00,3.89,0.13675213675213688,GOOD
Hmax,2020-11-04 03:21:40+00:00,3.87,0.3712871287128713,GOOD
Hmax,2022-06-14 19:21:40+00:00,3.84,0.38349514563106807,GOOD
HM0,2020-05-09 20:51:40+00:00,2.51,0.4252873563218387,SUSPECT
HM0,2020-08-24 02:51:40+00:00,2.51,0.1875,GOOD
HM0,2022-08-30 21:51:40+00:00,2.46,0.049382716049382755,GOOD
HM0,2022-08-30 21:21:40+00:00,2.42,0.0,GOOD
HM0,2021-11-13 22:51:40+00:00,2.41,0.5000000000000002,SUSPECT
HM0,2022-08-31 00:21:40+00:00,2.39,0.0,GOOD
HM0,2020-08-24 03:21:40+00:00,2.3,0.0,GOOD
HM0,2022-08-30 22:21:40+00:00,2.3,0.0,GOOD
HM0,2020-05-10 00:51:40+00:00,2.29,0.08450704225352121,GOOD
HM0,2020-08-24 03:51:40+00:00,2.28,0.0,GOOD
Avg_Sal,2020-01-18 23:21:40+00:00,37.6,0.7142857142857159,BAD
Avg_Sal,2020-01-25 15:51:40+00:00,37.57,0.5978260869565175,BAD
Avg_Sal,2020-01-10 02:51:40+00:00,37.52,0.5781250000000066,BAD
Avg_Sal,2020-01-13 17:21:40+00:00,37.47,0.43661971830986185,SUSPECT
Avg_Sal,2020-02-25 16:21:40+00:00,37.47,0.4383561643835639,SUSPECT
Avg_Sal,2020-01-15 06:51:40+00:00,37.45,0.45283018867924807,SUSPECT
Avg_Sal,2020-01-27 16:51:40+00:00,37.43,0.48571428571427844,SUSPECT
Avg_Sal,2020-01-28 17:21:40+00:00,37.42,0.43678160919540293,SUSPECT
Avg_Sal,2020-01-11 15:51:40+00:00,37.37,0.37500000000000183,GOOD
Avg_Sal,2020-01-08 14:51:40+00:00,37.37,0.2195121951219508,GOOD
Avg_DO,2020-05-16 20:21:40+00:00,5.63,0.01734104046242789,GOOD
Avg_DO,2025-10-27 11:21:40+00:00,5.62,0.04964539007092218,GOOD
Avg_DO,2020-05-16 20:51:40+00:00,5.6,0.0,GOOD
Avg_DO,2020-05-17 18:21:40+00:00,5.57,0.1370967741935483,GOOD
Avg_DO,2025-10-27 10:51:40+00:00,5.55,0.0,GOOD
Avg_DO,2025-07-21 10:51:40+00:00,5.53,0.8650793650793644,BAD
Avg_DO,2024-09-10 10:21:40+00:00,5.51,0.904347826086957,BAD
Avg_DO,2024-10-01 10:21:40+00:00,5.51,0.8931297709923667,BAD
Avg_DO,2020-08-15 16:21:40+00:00,5.43,0.734375,BAD
Avg_DO,2021-06-04 11:51:40+00:00,5.43,0.5487364620938627,BAD
