metrica,mean,std
macro_f1,0.7202294642473359,0.025217538745337522
weighted_f1,0.865720781891565,0.022822162258789556
balanced_accuracy,0.7234243323532337,0.020397314129425456
mcc,0.7537935987087865,0.04266462392447798
f1_good,0.9161141772593984,0.013282121009184668
f1_suspect,0.8643285937360244,0.036024892434896275
f1_bad,0.38024562174658466,0.06862427005316449
auprc_bad,0.3250408963121621,0.0883624002484628
macro_f1_bootstrap_ci95_low,0.7056583549866056,
macro_f1_bootstrap_ci95_high,0.7365734736818452,
