idx,variant,label
1524,baseline,0
1524,future_shocked,1
336,baseline,1
336,future_shocked,1
1658,baseline,0
1658,future_shocked,1
10,baseline,0
10,future_shocked,1
1297,baseline,0
1297,future_shocked,1
716,baseline,0
716,future_shocked,1
1551,baseline,1
1551,future_shocked,1
575,baseline,0
575,future_shocked,1
120,baseline,0
120,future_shocked,1
554,baseline,0
554,future_shocked,0
632,baseline,0
632,future_shocked,1
680,baseline,0
680,future_shocked,1
61,baseline,1
61,future_shocked,1
378,baseline,1
378,future_shocked,1
923,baseline,0
923,future_shocked,2
1191,baseline,1
1191,future_shocked,1
241,baseline,0
241,future_shocked,1
626,baseline,1
626,future_shocked,1
462,baseline,0
462,future_shocked,0
133,baseline,0
133,future_shocked,1
737,baseline,0
737,future_shocked,2
1112,baseline,0
1112,future_shocked,1
1515,baseline,1
1515,future_shocked,1
1031,baseline,1
1031,future_shocked,1
1054,baseline,1
1054,future_shocked,1
88,baseline,1
88,future_shocked,1
325,baseline,0
325,future_shocked,0
473,baseline,0
473,future_shocked,1
1342,baseline,1
1342,future_shocked,1
1008,baseline,1
1008,future_shocked,1
371,baseline,0
371,future_shocked,1
1262,baseline,0
1262,future_shocked,2
154,baseline,1
154,future_shocked,1
682,baseline,1
682,future_shocked,1
837,baseline,0
837,future_shocked,1
380,baseline,0
380,future_shocked,1
1115,baseline,0
1115,future_shocked,1
1239,baseline,1
1239,future_shocked,1
1720,baseline,0
1720,future_shocked,1
97,baseline,0
97,future_shocked,1
87,baseline,0
87,future_shocked,1
1496,baseline,1
1496,future_shocked,1
368,baseline,0
368,future_shocked,1
1097,baseline,1
1097,future_shocked,1
777,baseline,1
777,future_shocked,1
970,baseline,0
970,future_shocked,1
13,baseline,0
13,future_shocked,0
1631,baseline,0
1631,future_shocked,1
1148,baseline,0
1148,future_shocked,0
1172,baseline,0
1172,future_shocked,1
1107,baseline,0
1107,future_shocked,1
345,baseline,0
345,future_shocked,0
1305,baseline,0
1305,future_shocked,0
1227,baseline,0
1227,future_shocked,1
485,baseline,0
485,future_shocked,1
151,baseline,0
151,future_shocked,1
1616,baseline,1
1616,future_shocked,1
1022,baseline,1
1022,future_shocked,1
1584,baseline,0
1584,future_shocked,0
290,baseline,1
290,future_shocked,1
1020,baseline,0
1020,future_shocked,1
1175,baseline,0
1175,future_shocked,1
34,baseline,0
34,future_shocked,0
1618,baseline,0
1618,future_shocked,1
1278,baseline,0
1278,future_shocked,2
732,baseline,0
732,future_shocked,1
84,baseline,0
84,future_shocked,1
1446,baseline,1
1446,future_shocked,1
1493,baseline,0
1493,future_shocked,1
1156,baseline,0
1156,future_shocked,0
1006,baseline,0
1006,future_shocked,1
1182,baseline,0
1182,future_shocked,0
521,baseline,1
521,future_shocked,1
350,baseline,0
350,future_shocked,0
908,baseline,0
908,future_shocked,0
1477,baseline,1
1477,future_shocked,1
389,baseline,0
389,future_shocked,1
1664,baseline,1
1664,future_shocked,1
395,baseline,0
395,future_shocked,1
200,baseline,0
200,future_shocked,0
1466,baseline,0
1466,future_shocked,1
996,baseline,2
996,future_shocked,2
1447,baseline,1
1447,future_shocked,1
1454,baseline,0
1454,future_shocked,1
605,baseline,1
605,future_shocked,1
679,baseline,1
679,future_shocked,1
58,baseline,1
58,future_shocked,1
138,baseline,1
138,future_shocked,1
402,baseline,1
402,future_shocked,1
1261,baseline,0
1261,future_shocked,2
1603,baseline,1
1603,future_shocked,1
1351,baseline,1
1351,future_shocked,1
1162,baseline,0
1162,future_shocked,1
940,baseline,1
940,future_shocked,1
1393,baseline,0
1393,future_shocked,1
206,baseline,0
206,future_shocked,1
1705,baseline,0
1705,future_shocked,0
166,baseline,0
166,future_shocked,1
1076,baseline,0
1076,future_shocked,1
42,baseline,0
42,future_shocked,1
872,baseline,1
872,future_shocked,1
559,baseline,0
559,future_shocked,0
268,baseline,0
268,future_shocked,1
541,baseline,1
541,future_shocked,1
917,baseline,1
917,future_shocked,1
123,baseline,1
123,future_shocked,1
920,baseline,0
920,future_shocked,0
57,baseline,1
57,future_shocked,1
826,baseline,0
826,future_shocked,1
553,baseline,0
553,future_shocked,1
499,baseline,0
499,future_shocked,1
586,baseline,1
586,future_shocked,1
785,baseline,1
785,future_shocked,1
1155,baseline,0
1155,future_shocked,0
1207,baseline,1
1207,future_shocked,1
1094,baseline,1
1094,future_shocked,1
8,baseline,1
8,future_shocked,1
1394,baseline,0
1394,future_shocked,1
695,baseline,0
695,future_shocked,0
790,baseline,0
790,future_shocked,1
1009,baseline,1
1009,future_shocked,1
1086,baseline,0
1086,future_shocked,0
1442,baseline,1
1442,future_shocked,1
707,baseline,1
707,future_shocked,1
955,baseline,1
955,future_shocked,1
1513,baseline,0
1513,future_shocked,0
1358,baseline,0
1358,future_shocked,2
