idx,scenario,p_good,p_suspect,p_bad
1413,A,0.075638734,0.8945281,0.029833144
1413,B,0.047403563,0.93335193,0.019244503
1330,A,0.00018951333,0.026291441,0.973519
1330,B,0.00019969228,0.03351556,0.96628463
1661,A,0.0007399469,0.07214094,0.92711914
1661,B,0.00092026766,0.10839005,0.8906897
385,A,0.40247488,0.59752345,1.5997265e-06
385,B,0.4890174,0.5109816,9.663206e-07
920,A,7.680595e-05,0.015899438,0.9840237
920,B,9.743488e-05,0.025306307,0.9745962
156,A,0.0044379723,0.9271356,0.06842641
156,B,0.0047591785,0.94744927,0.04779151
1184,A,4.373936e-05,0.015084432,0.9848718
1184,B,4.7534024e-05,0.020286452,0.97966605
379,A,0.10591345,0.8940779,8.611141e-06
379,B,0.07551217,0.9244835,4.3004256e-06
1275,A,6.0570033e-05,0.013913569,0.98602587
1275,B,6.845844e-05,0.01238156,0.98754996
81,A,5.4999644e-05,0.0094818715,0.9904631
81,B,5.7605826e-05,0.010267764,0.9896746
750,A,0.0004583473,0.09750341,0.9020383
750,B,0.00043021294,0.11927298,0.8802967
1280,A,0.00013126698,0.08104822,0.9188206
1280,B,0.00017425395,0.09087354,0.9089522
619,A,0.0006532601,0.12702858,0.8723182
619,B,0.0008396131,0.24567947,0.75348085
779,A,0.00013844977,0.047740955,0.9521206
779,B,0.00014575823,0.06203934,0.9378149
1185,A,0.00017631744,0.027117833,0.9727058
1185,B,0.00022325784,0.03508568,0.96469104
37,A,0.0007783689,0.064683855,0.93453777
37,B,0.00090364803,0.11401379,0.88508254
546,A,0.0049648685,0.4594566,0.53557855
546,B,0.003862158,0.5601146,0.43602324
514,A,0.0073398678,0.876611,0.116049156
514,B,0.0070085316,0.93537545,0.057615984
1602,A,0.0011685084,0.11764546,0.881186
1602,B,0.0013399927,0.18105713,0.8176029
1104,A,0.0144774215,0.4656592,0.5198634
1104,B,0.012296757,0.59806436,0.3896389
475,A,0.022653,0.5019557,0.47539127
475,B,0.01603639,0.61941,0.36455366
1492,A,0.0005365636,0.05347448,0.94598895
1492,B,0.00073992775,0.10698097,0.89227915
496,A,0.01134707,0.38509718,0.6035558
496,B,0.0077608656,0.54878855,0.44345063
321,A,0.00020431272,0.11744666,0.8823491
321,B,0.00027907372,0.22520968,0.7745112
451,A,0.086332604,0.905331,0.008336355
451,B,0.07176437,0.9245587,0.0036769318
259,A,0.005522536,0.21291265,0.7815648
259,B,0.005216205,0.33642352,0.65836024
281,A,0.00032245932,0.079915226,0.91976225
281,B,0.0002731056,0.08226768,0.91745925
1141,A,0.00018490959,0.0526878,0.9471273
1141,B,0.00017028418,0.06579142,0.9340384
665,A,0.011631095,0.5704487,0.41792026
665,B,0.009413349,0.69643426,0.29415235
1561,A,0.000534524,0.08279437,0.91667104
1561,B,0.000547137,0.10351717,0.89593565
1518,A,0.00041317858,0.05869152,0.94089526
1518,B,0.00039429957,0.07396414,0.92564154
580,A,0.31109968,0.6885309,0.00036934324
580,B,0.24701615,0.75280255,0.00018130752
998,A,3.7023858e-06,0.0030913448,0.9969049
998,B,3.8373337e-06,0.0029093595,0.9970868
841,A,6.257846e-05,0.019339869,0.98059756
841,B,8.394263e-05,0.025124649,0.97479147
566,A,0.032749746,0.96012825,0.007121984
566,B,0.032237086,0.9628695,0.0048933327
817,A,4.5877678e-05,0.013724368,0.9862298
817,B,5.655335e-05,0.020239936,0.97970355
1452,A,0.11858993,0.7732227,0.108187325
1452,B,0.087503634,0.8298603,0.082636096
111,A,3.4881334e-05,0.0063753803,0.99358976
111,B,3.0024177e-05,0.0054027676,0.9945673
109,A,1.2228953e-05,0.0039789444,0.99600875
109,B,1.1805346e-05,0.0037405044,0.9962477
410,A,0.024948226,0.814001,0.16105077
410,B,0.018594509,0.8720199,0.109385654
856,A,0.0010638217,0.091620125,0.90731597
856,B,0.0013166312,0.1752635,0.82341987
775,A,0.0002557715,0.046877056,0.95286715
775,B,0.0003044358,0.075111195,0.9245844
425,A,0.17018858,0.82838,0.0014314248
425,B,0.115050875,0.88424486,0.0007042469
477,A,0.0043461085,0.27878454,0.71686935
477,B,0.0035301277,0.40583974,0.59063005
200,A,0.0005100088,0.08956659,0.9099234
200,B,0.00057279394,0.14404738,0.8553799
637,A,0.00018776058,0.061467867,0.93834436
637,B,0.00019273677,0.082813725,0.9169935
1009,A,0.0042462647,0.48109502,0.5146588
1009,B,0.0028492426,0.60631466,0.3908361
319,A,0.00032772188,0.12215018,0.87752205
319,B,0.00050967187,0.20677723,0.79271317
1288,A,0.0038782917,0.31920844,0.67691326
1288,B,0.004453631,0.41458526,0.5809611
839,A,0.00012689241,0.024275472,0.9755976
839,B,0.00013521206,0.027885646,0.9719792
836,A,0.00019252893,0.023924628,0.9758828
836,B,0.00022077197,0.026576618,0.9732026
878,A,6.630928e-05,0.015475833,0.9844579
878,B,7.5032076e-05,0.01943683,0.98048806
50,A,0.0002846256,0.03470522,0.9650102
50,B,0.0004553615,0.083402306,0.91614234
1341,A,9.0474095e-05,0.017665094,0.98224443
1341,B,9.888709e-05,0.01906613,0.980835
493,A,0.0027697654,0.20704642,0.79018384
493,B,0.0024554913,0.32924017,0.66830426
48,A,0.00026229097,0.06360105,0.9361367
48,B,0.00031254315,0.09763303,0.9020545
1381,A,0.052077822,0.8555858,0.09233636
1381,B,0.038128156,0.9083269,0.053544927
784,A,0.0005353398,0.06909245,0.93037224
784,B,0.0006479793,0.13063963,0.86871237
1672,A,0.00017915783,0.0420472,0.9577737
1672,B,0.00017036292,0.042262606,0.95756704
195,A,0.0009965417,0.092517555,0.9064859
195,B,0.0010545867,0.14062224,0.8583232
326,A,0.03252279,0.8129279,0.1545493
326,B,0.02384972,0.87767226,0.09847806
1446,A,0.061557062,0.79586595,0.14257698
1446,B,0.037668757,0.8793697,0.08296161
128,A,5.3660122e-05,0.013805936,0.9861405
128,B,6.0610873e-05,0.019791212,0.9801482
39,A,0.000664366,0.06825338,0.93108225
39,B,0.00068415527,0.10693287,0.892383
1248,A,2.9149875e-05,0.0042132935,0.9957575
1248,B,4.1884872e-05,0.006737985,0.9932201
1574,A,0.000648182,0.10835354,0.8909983
1574,B,0.0006200241,0.13256986,0.86681014
100,A,4.7590995e-05,0.009114511,0.9908379
100,B,5.6276876e-05,0.013213072,0.9867307
700,A,0.0002607036,0.04679467,0.9529447
700,B,0.00029080338,0.06507419,0.934635
108,A,1.3424544e-05,0.0047389227,0.99524766
108,B,1.400071e-05,0.0053820233,0.99460393
1705,A,0.0031252673,0.5559855,0.4408892
1705,B,0.002157686,0.68092775,0.31691453
391,A,0.218884,0.7811101,5.837679e-06
391,B,0.21021031,0.7897856,4.0462346e-06
87,A,2.6236765e-05,0.0052957824,0.994678
87,B,3.0820123e-05,0.0071022194,0.992867
1022,A,0.11726573,0.88273114,3.179179e-06
1022,B,0.10507722,0.8949209,1.8951453e-06
1715,A,0.02616094,0.70250803,0.271331
1715,B,0.018174116,0.77963114,0.20219478
32,A,0.00040241692,0.073371805,0.9262257
32,B,0.00038253312,0.09170837,0.9079091
1535,A,0.00035167375,0.07250768,0.92714065
1535,B,0.0003613218,0.098875985,0.9007627
317,A,2.1856951e-05,0.03330126,0.96667683
317,B,1.9150471e-05,0.031726234,0.96825457
186,A,0.0012327307,0.14012429,0.858643
186,B,0.001193631,0.21775383,0.78105253
975,A,1.4574962e-05,0.0035750573,0.9964103
975,B,1.3826664e-05,0.004356051,0.99563015
230,A,0.005695052,0.28242025,0.7118846
230,B,0.00499485,0.4120059,0.5829993
1504,A,0.0003594888,0.09465453,0.904986
1504,B,0.000366645,0.10648876,0.8931445
424,A,0.17637788,0.8230239,0.00059815083
424,B,0.15413512,0.8455594,0.00030542832
648,A,0.0008177503,0.12024657,0.8789356
648,B,0.00089591433,0.16895056,0.83015347
1234,A,5.6472807e-05,0.008452679,0.9914908
1234,B,7.6178636e-05,0.013981376,0.9859424
1084,A,0.02584498,0.6531901,0.32096496
1084,B,0.017463902,0.75936127,0.22317481
374,A,0.003674041,0.995756,0.0005699392
374,B,0.004724476,0.99489284,0.0003826468
904,A,0.000329114,0.04906595,0.950605
904,B,0.00031781956,0.057885036,0.94179714
560,A,0.011776828,0.5956824,0.39254075
560,B,0.00832795,0.6957772,0.2958949
512,A,0.0041259564,0.39714468,0.59872943
512,B,0.0042202687,0.5146609,0.48111883
1182,A,8.990532e-05,0.019326797,0.9805833
1182,B,0.00010965712,0.02901182,0.97087854
192,A,0.0032970558,0.15752903,0.839174
192,B,0.0031595016,0.24635673,0.7504837
720,A,0.00010311418,0.018333334,0.98156357
720,B,0.00012450537,0.02880419,0.9710713
1382,A,0.10298777,0.82862735,0.06838491
1382,B,0.085529946,0.88386834,0.030601745
1557,A,0.00025615157,0.0923715,0.9073723
1557,B,0.00028605634,0.12031722,0.8793967
1355,A,0.0001251274,0.026108121,0.97376674
1355,B,0.00013188572,0.028683573,0.9711846
1031,A,0.22351378,0.77645296,3.3302527e-05
1031,B,0.19941792,0.80056155,2.0535053e-05
1087,A,0.01151349,0.6529409,0.3355456
1087,B,0.0076160445,0.7533031,0.23908086
342,A,0.0055370783,0.56231993,0.43214303
342,B,0.005160882,0.68341476,0.31142434
1197,A,0.00013936216,0.02413665,0.97572404
1197,B,0.00016938704,0.040368337,0.9594622
589,A,0.08223334,0.8452408,0.072525874
589,B,0.060397975,0.89807963,0.041522447
29,A,0.00082627026,0.098862275,0.90031147
29,B,0.00079511,0.12739092,0.8718139
1643,A,0.0009161095,0.113626234,0.88545763
1643,B,0.0009817828,0.18268214,0.81633604
417,A,0.055118676,0.94473433,0.0001470297
417,B,0.04701232,0.9528941,9.3600625e-05
695,A,0.00019255085,0.048077513,0.95172995
695,B,0.00018159265,0.05496936,0.9448491
237,A,0.00038243452,0.0948083,0.9048092
237,B,0.00038204357,0.11765603,0.88196194
1455,A,0.013222245,0.4735607,0.5132171
1455,B,0.009511536,0.5757716,0.41471696
559,A,0.0044148453,0.46721193,0.52837324
559,B,0.0032540334,0.587288,0.40945798
1646,A,0.0023793573,0.13484776,0.8627729
1646,B,0.0023288184,0.25476432,0.74290687
1387,A,0.009591771,0.54779077,0.44261745
1387,B,0.008885663,0.6746902,0.31642416
969,A,3.5189674e-05,0.0064524803,0.99351233
969,B,4.758056e-05,0.010009862,0.98994255
1086,A,0.0048369165,0.5021251,0.49303797
