event_pos,family,first_suspect_offset,first_bad_offset,detection_proportion
918,stuck,6.0,,0.25
918,drift,12.0,,0.0
918,level_shift,0.0,0.0,0.5833333333333334
1134,stuck,,,0.0
1134,drift,,,0.0
1134,level_shift,,0.0,0.5833333333333334
1183,stuck,,,0.08333333333333333
1183,drift,,,0.0
1183,level_shift,,0.0,0.75
1195,stuck,,,0.08333333333333333
1195,drift,,,0.16666666666666666
1195,level_shift,,0.0,0.5833333333333334
1534,stuck,,,0.5833333333333334
1534,drift,,,0.0
1534,level_shift,,0.0,0.4166666666666667
797,stuck,,,0.16666666666666666
797,drift,,,0.08333333333333333
797,level_shift,,0.0,0.6666666666666666
