idx,sign,k,p_bad
174,1,0.5,0.004413607
174,-1,0.5,0.008267737
174,1,1.0,0.033364095
174,-1,1.0,0.029076321
174,1,2.0,0.27422068
174,-1,2.0,0.26657367
174,1,3.0,0.6050155
174,-1,3.0,0.44750673
174,1,4.0,0.7936548
174,-1,4.0,0.44750673
174,1,6.0,0.9560241
174,-1,6.0,0.44750673
657,1,0.5,0.01660656
657,-1,0.5,0.0030374615
657,1,1.0,0.094879776
657,-1,1.0,0.013308692
657,1,2.0,0.42480293
657,-1,2.0,0.22104196
657,1,3.0,0.7187032
657,-1,3.0,0.8119653
657,1,4.0,0.8844329
657,-1,4.0,0.8119653
657,1,6.0,0.9772081
657,-1,6.0,0.8119653
1495,1,0.5,0.20210536
1495,-1,0.5,0.2990379
1495,1,1.0,0.7219183
1495,-1,1.0,0.7115131
1495,1,2.0,0.91558146
1495,-1,2.0,0.9559614
1495,1,3.0,0.95867383
1495,-1,3.0,0.9559614
1495,1,4.0,0.97855145
1495,-1,4.0,0.9559614
1495,1,6.0,0.9949797
1495,-1,6.0,0.9559614
1566,1,0.5,0.032802135
1566,-1,0.5,0.018881533
1566,1,1.0,0.24696924
1566,-1,1.0,0.10185235
1566,1,2.0,0.72062975
1566,-1,2.0,0.9000916
1566,1,3.0,0.90096855
1566,-1,3.0,0.9692347
1566,1,4.0,0.95211
1566,-1,4.0,0.9692347
1566,1,6.0,0.98882514
1566,-1,6.0,0.9692347
1322,1,0.5,0.10343963
1322,-1,0.5,0.104693174
1322,1,1.0,0.53353876
1322,-1,1.0,0.5885083
1322,1,2.0,0.89214087
1322,-1,2.0,0.9502094
1322,1,3.0,0.95402217
1322,-1,3.0,0.9502094
1322,1,4.0,0.9763357
1322,-1,4.0,0.9502094
1322,1,6.0,0.99430794
1322,-1,6.0,0.9502094
264,1,0.5,0.17570896
264,-1,0.5,0.07760254
264,1,1.0,0.5625121
264,-1,1.0,0.30985934
264,1,2.0,0.87965924
264,-1,2.0,0.9356391
264,1,3.0,0.953475
264,-1,3.0,0.9356391
264,1,4.0,0.97858787
264,-1,4.0,0.9356391
264,1,6.0,0.99508566
264,-1,6.0,0.9356391
694,1,0.5,0.11979261
694,-1,0.5,0.1981791
694,1,1.0,0.6225885
694,-1,1.0,0.7708164
694,1,2.0,0.8850337
694,-1,2.0,0.9796886
694,1,3.0,0.9527084
694,-1,3.0,0.9796886
694,1,4.0,0.97836775
694,-1,4.0,0.9796886
694,1,6.0,0.9950923
694,-1,6.0,0.9796886
706,1,0.5,0.61637986
706,-1,0.5,0.115141235
706,1,1.0,0.84738225
706,-1,1.0,0.5547611
706,1,2.0,0.9547061
706,-1,2.0,0.94829714
706,1,3.0,0.9817893
706,-1,3.0,0.94829714
706,1,4.0,0.99069256
706,-1,4.0,0.94829714
706,1,6.0,0.9974031
706,-1,6.0,0.94829714
674,1,0.5,0.0055052717
674,-1,0.5,0.017898777
674,1,1.0,0.05385802
674,-1,1.0,0.048887245
674,1,2.0,0.40713468
674,-1,2.0,0.62058604
674,1,3.0,0.7651051
674,-1,3.0,0.8224498
674,1,4.0,0.89525944
674,-1,4.0,0.8224498
674,1,6.0,0.97704834
674,-1,6.0,0.8224498
424,1,0.5,4.4103174e-07
424,-1,0.5,2.0738714e-06
424,1,1.0,2.281134e-06
424,-1,1.0,4.752259e-06
424,1,2.0,6.146283e-05
424,-1,2.0,3.72602e-05
424,1,3.0,0.00059815083
424,-1,3.0,0.00050319254
424,1,4.0,0.0053820936
424,-1,4.0,0.0062849633
424,1,6.0,0.05062005
424,-1,6.0,0.0062849633
1304,1,0.5,0.34218225
1304,-1,0.5,0.06288667
1304,1,1.0,0.70878655
1304,-1,1.0,0.35196388
1304,1,2.0,0.91612107
1304,-1,2.0,0.97020143
1304,1,3.0,0.96463937
1304,-1,3.0,0.97633195
1304,1,4.0,0.98368907
1304,-1,4.0,0.97633195
1304,1,6.0,0.9965744
1304,-1,6.0,0.97633195
150,1,0.5,0.12795135
150,-1,0.5,0.0034126914
150,1,1.0,0.35285962
150,-1,1.0,0.01853917
150,1,2.0,0.69838965
150,-1,2.0,0.6001597
150,1,3.0,0.8845297
150,-1,3.0,0.9502898
150,1,4.0,0.9496632
150,-1,4.0,0.9502898
150,1,6.0,0.98846406
150,-1,6.0,0.9502898
428,1,0.5,1.1658524e-06
428,-1,0.5,4.8928715e-08
428,1,1.0,6.8756613e-06
428,-1,1.0,4.417623e-07
428,1,2.0,7.859918e-05
428,-1,2.0,1.4476441e-06
428,1,3.0,0.00087578705
428,-1,3.0,1.7126924e-05
428,1,4.0,0.01000495
428,-1,4.0,0.00030994703
428,1,6.0,0.3319539
428,-1,6.0,0.011600099
1096,1,0.5,0.0016993871
1096,-1,0.5,0.0011544855
1096,1,1.0,0.0114766555
1096,-1,1.0,0.0031463066
1096,1,2.0,0.10257101
1096,-1,2.0,0.037624065
1096,1,3.0,0.32019034
1096,-1,3.0,0.34714714
1096,1,4.0,0.58861834
1096,-1,4.0,0.34714714
1096,1,6.0,0.95315844
1096,-1,6.0,0.34714714
259,1,0.5,0.0039863237
259,-1,0.5,0.11042255
259,1,1.0,0.028199024
259,-1,1.0,0.417225
259,1,2.0,0.3999409
259,-1,2.0,0.9416389
259,1,3.0,0.7815648
259,-1,3.0,0.9416389
259,1,4.0,0.909265
259,-1,4.0,0.9416389
259,1,6.0,0.97888833
259,-1,6.0,0.9416389
541,1,0.5,8.222374e-05
541,-1,0.5,0.0013781706
541,1,1.0,0.00030428972
541,-1,1.0,0.007092308
541,1,2.0,0.01045856
541,-1,2.0,0.10516927
541,1,3.0,0.08595485
541,-1,3.0,0.3217761
541,1,4.0,0.23786761
541,-1,4.0,0.3217761
541,1,6.0,0.81529486
541,-1,6.0,0.3217761
547,1,0.5,0.022590887
547,-1,0.5,0.00038598373
547,1,1.0,0.07839
547,-1,1.0,0.0008046173
547,1,2.0,0.2836258
547,-1,2.0,0.0067707216
547,1,3.0,0.5716221
547,-1,3.0,0.08162172
547,1,4.0,0.84079605
547,-1,4.0,0.3947933
547,1,6.0,0.97847885
547,-1,6.0,0.3947933
1015,1,0.5,2.7664499e-05
1015,-1,0.5,9.784889e-06
1015,1,1.0,0.00018566824
1015,-1,1.0,4.921605e-05
1015,1,2.0,0.002026288
1015,-1,2.0,0.0010556767
1015,1,3.0,0.013138366
1015,-1,3.0,0.023738036
1015,1,4.0,0.09991302
1015,-1,4.0,0.49959373
1015,1,6.0,0.78943557
1015,-1,6.0,0.6749606
1684,1,0.5,0.04726788
1684,-1,0.5,0.16518983
1684,1,1.0,0.38577864
1684,-1,1.0,0.6485918
1684,1,2.0,0.8404445
1684,-1,2.0,0.98713374
1684,1,3.0,0.93468684
1684,-1,3.0,0.98713374
1684,1,4.0,0.9739336
1684,-1,4.0,0.98713374
1684,1,6.0,0.99494815
1684,-1,6.0,0.98713374
1688,1,0.5,0.32586104
1688,-1,0.5,0.11699659
1688,1,1.0,0.6709178
1688,-1,1.0,0.5268626
1688,1,2.0,0.87958896
1688,-1,2.0,0.975418
1688,1,3.0,0.9529674
1688,-1,3.0,0.975418
1688,1,4.0,0.97922087
1688,-1,4.0,0.975418
1688,1,6.0,0.9956092
1688,-1,6.0,0.975418
1348,1,0.5,0.84648263
1348,-1,0.5,0.4459226
1348,1,1.0,0.9346068
1348,-1,1.0,0.9006608
1348,1,2.0,0.9785887
1348,-1,2.0,0.9857201
1348,1,3.0,0.99182737
1348,-1,3.0,0.9857201
1348,1,4.0,0.9960646
1348,-1,4.0,0.9857201
1348,1,6.0,0.9989473
1348,-1,6.0,0.9857201
255,1,0.5,0.01476401
255,-1,0.5,0.026987093
255,1,1.0,0.1440227
255,-1,1.0,0.1285363
255,1,2.0,0.55866885
255,-1,2.0,0.8924038
255,1,3.0,0.84479326
255,-1,3.0,0.92526585
255,1,4.0,0.92958796
255,-1,4.0,0.92526585
255,1,6.0,0.9855494
255,-1,6.0,0.92526585
664,1,0.5,0.00027445186
664,-1,0.5,0.0015660898
664,1,1.0,0.0019150461
664,-1,1.0,0.0055902135
664,1,2.0,0.039502274
664,-1,2.0,0.087414876
664,1,3.0,0.21471119
664,-1,3.0,0.5890268
664,1,4.0,0.5301882
664,-1,4.0,0.5890268
664,1,6.0,0.9422953
664,-1,6.0,0.5890268
1023,1,0.5,5.020848e-08
1023,-1,0.5,6.264832e-08
1023,1,1.0,2.6856793e-07
1023,-1,1.0,7.664993e-08
1023,1,2.0,4.8665343e-06
1023,-1,2.0,6.293412e-07
1023,1,3.0,4.955317e-05
1023,-1,3.0,1.1034673e-05
1023,1,4.0,0.0004674165
1023,-1,4.0,0.00017843253
1023,1,6.0,0.018905882
1023,-1,6.0,0.0052940696
578,1,0.5,6.227809e-08
578,-1,0.5,1.0315867e-07
578,1,1.0,2.6452722e-07
578,-1,1.0,2.3466279e-07
578,1,2.0,2.7998776e-06
578,-1,2.0,2.6635028e-06
578,1,3.0,3.6673056e-05
578,-1,3.0,4.928971e-05
578,1,4.0,0.00033852295
578,-1,4.0,0.00094033586
578,1,6.0,0.01299462
578,-1,6.0,0.0077942116
1582,1,0.5,0.3100262
1582,-1,0.5,0.09776608
1582,1,1.0,0.70026135
1582,-1,1.0,0.49458244
1582,1,2.0,0.88550234
1582,-1,2.0,0.9813495
1582,1,3.0,0.94775075
1582,-1,3.0,0.9813495
1582,1,4.0,0.9758915
1582,-1,4.0,0.9813495
1582,1,6.0,0.9945621
1582,-1,6.0,0.9813495
1306,1,0.5,0.14405979
1306,-1,0.5,0.042151537
1306,1,1.0,0.54799545
1306,-1,1.0,0.25675547
1306,1,2.0,0.87470317
1306,-1,2.0,0.96905184
1306,1,3.0,0.93774784
1306,-1,3.0,0.98828155
1306,1,4.0,0.97247946
1306,-1,4.0,0.98828155
1306,1,6.0,0.99442816
1306,-1,6.0,0.98828155
635,1,0.5,0.0035901358
635,-1,0.5,0.0010908762
635,1,1.0,0.025280893
635,-1,1.0,0.003448347
635,1,2.0,0.23401551
635,-1,2.0,0.10557221
635,1,3.0,0.64677167
635,-1,3.0,0.24897997
635,1,4.0,0.8565228
635,-1,4.0,0.24897997
635,1,6.0,0.97089773
635,-1,6.0,0.24897997
826,1,0.5,0.7417547
826,-1,0.5,0.5404102
826,1,1.0,0.92304915
826,-1,1.0,0.91668695
826,1,2.0,0.9789296
826,-1,2.0,0.9459714
826,1,3.0,0.991962
826,-1,3.0,0.9459714
826,1,4.0,0.99623775
826,-1,4.0,0.9459714
826,1,6.0,0.99908566
826,-1,6.0,0.9459714
440,1,0.5,7.8920316e-08
440,-1,0.5,8.623201e-08
440,1,1.0,3.5630492e-07
440,-1,1.0,1.6584e-07
440,1,2.0,4.544667e-06
440,-1,2.0,1.7154673e-06
440,1,3.0,4.7675552e-05
440,-1,3.0,3.3393324e-05
440,1,4.0,0.0005454415
440,-1,4.0,0.0005038897
440,1,6.0,0.054326195
440,-1,6.0,0.014898581
901,1,0.5,0.062210705
901,-1,0.5,0.30399144
901,1,1.0,0.5179743
901,-1,1.0,0.8742973
901,1,2.0,0.85049224
901,-1,2.0,0.9882783
901,1,3.0,0.9384408
901,-1,3.0,0.9882783
901,1,4.0,0.97284657
901,-1,4.0,0.9882783
901,1,6.0,0.9944102
