event_pos,mode,t_rec,censored
1358,realimentacao_observado,5,False
1358,substituicao_predicao,0,False
246,realimentacao_observado,2,False
246,substituicao_predicao,0,False
843,realimentacao_observado,11,False
843,substituicao_predicao,0,False
1687,realimentacao_observado,3,False
1687,substituicao_predicao,0,False
159,realimentacao_observado,4,False
159,substituicao_predicao,0,False
1417,realimentacao_observado,2,False
1417,substituicao_predicao,0,False
799,realimentacao_observado,3,False
799,substituicao_predicao,0,False
1596,realimentacao_observado,5,False
1596,substituicao_predicao,0,False
1426,realimentacao_observado,2,False
1426,substituicao_predicao,0,False
868,realimentacao_observado,3,False
868,substituicao_predicao,0,False
879,realimentacao_observado,3,False
879,substituicao_predicao,0,False
822,realimentacao_observado,5,False
822,substituicao_predicao,0,False
