idx,feature,feature_idx,p_good,label,p_good_base,label_base
1401,Avg_Wv_Spread_N,0.0,0.86937535,0,0.9239652,0
1401,wind_speed_10m,1.0,0.9254544,0,0.9239652,0
1401,wind_gusts_10m,2.0,0.9231743,0,0.9239652,0
1401,Tavg,3.0,0.92141396,0,0.9239652,0
1401,Tsig,4.0,0.9211185,0,0.9239652,0
1002,Avg_Wv_Spread_N,0.0,0.72196925,0,0.76251316,0
1002,wind_speed_10m,1.0,0.78099406,0,0.76251316,0
1002,wind_gusts_10m,2.0,0.76531243,0,0.76251316,0
1002,Tavg,3.0,0.73111963,0,0.76251316,0
1002,Tsig,4.0,0.7710022,0,0.76251316,0
590,Avg_Wv_Spread_N,0.0,0.9350348,0,0.9748526,0
590,wind_speed_10m,1.0,0.9767617,0,0.9748526,0
590,wind_gusts_10m,2.0,0.9729413,0,0.9748526,0
590,Tavg,3.0,0.9734274,0,0.9748526,0
590,Tsig,4.0,0.9742366,0,0.9748526,0
391,Avg_Wv_Spread_N,0.0,0.98782057,0,0.9939693,0
391,wind_speed_10m,1.0,0.9947366,0,0.9939693,0
391,wind_gusts_10m,2.0,0.99357224,0,0.9939693,0
391,Tavg,3.0,0.99340326,0,0.9939693,0
391,Tsig,4.0,0.99393636,0,0.9939693,0
58,Avg_Wv_Spread_N,0.0,0.021537064,1,0.009336873,1
58,wind_speed_10m,1.0,0.010771642,1,0.009336873,1
58,wind_gusts_10m,2.0,0.008791883,1,0.009336873,1
58,Tavg,3.0,0.009212534,1,0.009336873,1
58,Tsig,4.0,0.009453404,1,0.009336873,1
287,Avg_Wv_Spread_N,0.0,0.90418756,0,0.94038504,0
287,wind_speed_10m,1.0,0.9451453,0,0.94038504,0
287,wind_gusts_10m,2.0,0.9366799,0,0.94038504,0
287,Tavg,3.0,0.9429023,0,0.94038504,0
287,Tsig,4.0,0.94252944,0,0.94038504,0
208,Avg_Wv_Spread_N,0.0,0.8939318,0,0.91672975,0
208,wind_speed_10m,1.0,0.9212843,0,0.91672975,0
208,wind_gusts_10m,2.0,0.9172195,0,0.91672975,0
208,Tavg,3.0,0.9174252,0,0.91672975,0
208,Tsig,4.0,0.9149631,0,0.91672975,0
641,Avg_Wv_Spread_N,0.0,0.9246122,0,0.9602807,0
641,wind_speed_10m,1.0,0.9626926,0,0.9602807,0
641,wind_gusts_10m,2.0,0.9589714,0,0.9602807,0
641,Tavg,3.0,0.959889,0,0.9602807,0
641,Tsig,4.0,0.9605728,0,0.9602807,0
1436,Avg_Wv_Spread_N,0.0,0.9632524,0,0.97895753,0
1436,wind_speed_10m,1.0,0.980138,0,0.97895753,0
1436,wind_gusts_10m,2.0,0.97811514,0,0.97895753,0
1436,Tavg,3.0,0.978572,0,0.97895753,0
1436,Tsig,4.0,0.97798264,0,0.97895753,0
985,Avg_Wv_Spread_N,0.0,0.9333119,0,0.9466784,0
985,wind_speed_10m,1.0,0.951309,0,0.9466784,0
985,wind_gusts_10m,2.0,0.9357841,0,0.9466784,0
985,Tavg,3.0,0.93678784,0,0.9466784,0
985,Tsig,4.0,0.94706076,0,0.9466784,0
479,Avg_Wv_Spread_N,0.0,0.5468822,0,0.694335,0
479,wind_speed_10m,1.0,0.7191937,0,0.694335,0
479,wind_gusts_10m,2.0,0.6855594,0,0.694335,0
479,Tavg,3.0,0.6992958,0,0.694335,0
479,Tsig,4.0,0.69403654,0,0.694335,0
1372,Avg_Wv_Spread_N,0.0,0.60639215,0,0.79899603,0
1372,wind_speed_10m,1.0,0.81965023,0,0.79899603,0
1372,wind_gusts_10m,2.0,0.79252493,0,0.79899603,0
1372,Tavg,3.0,0.7903919,0,0.79899603,0
1372,Tsig,4.0,0.7967989,0,0.79899603,0
1187,Avg_Wv_Spread_N,0.0,0.0107800905,1,0.0053542326,1
1187,wind_speed_10m,1.0,0.0055302563,1,0.0053542326,1
1187,wind_gusts_10m,2.0,0.0054010395,1,0.0053542326,1
1187,Tavg,3.0,0.0045581977,1,0.0053542326,1
1187,Tsig,4.0,0.0052422704,1,0.0053542326,1
64,Avg_Wv_Spread_N,0.0,0.84335184,0,0.92429066,0
64,wind_speed_10m,1.0,0.92191064,0,0.92429066,0
64,wind_gusts_10m,2.0,0.9149273,0,0.92429066,0
64,Tavg,3.0,0.9145139,0,0.92429066,0
64,Tsig,4.0,0.92635226,0,0.92429066,0
1379,Avg_Wv_Spread_N,0.0,0.0004950367,1,0.0004975588,1
1379,wind_speed_10m,1.0,0.00053352903,1,0.0004975588,1
