metrica,mean,std
macro_f1,0.6281850509945475,0.06076247510883847
weighted_f1,0.8222861611169704,0.060544008525797534
balanced_accuracy,0.717566677732995,0.09936346674643083
mcc,0.6672922656290308,0.08246289529919433
f1_good,0.8926347098576258,0.03531864552980908
f1_suspect,0.7742032892924765,0.09119385403883878
f1_bad,0.21771715383354004,0.10575102824829348
binary_f1,0.8699665121691413,0.06645837193132613
macro_f1_bootstrap_ci95_low,0.5971181978929138,
macro_f1_bootstrap_ci95_high,0.6584796840887233,
binary_f1_bootstrap_ci95_low,0.8328863408359669,
binary_f1_bootstrap_ci95_high,0.8945579679940486,
