model_seed,anomaly_seed_base,tau_b,n_teste,macro_f1,f1_good,f1_suspect,f1_bad,binary_f1,binary_precision,binary_recall,auprc_bad,auroc_bad
42,600,0.7000000000000001,8355,0.7418962755155105,0.9767733835530445,0.6344576116681859,0.6144578313253012,0.8529244747302669,0.8898104265402843,0.8189749182115594,0.6474219694403892,0.9431079621391042
42,610,0.6000000000000001,8355,0.7242476175723654,0.9794058684162567,0.5493975903614458,0.6439393939393939,0.8606658446362515,0.9018087855297158,0.8231132075471698,0.6474982439489554,0.9359145657173968
42,620,0.55,8355,0.7427812489754162,0.9827215840104604,0.7199424046076314,0.525679758308157,0.9098000975134081,0.9376884422110553,0.8835227272727273,0.4247872028783638,0.8509041121214572
42,630,0.6500000000000001,8355,0.8143408385563742,0.984711159937746,0.759545923632611,0.6987654320987654,0.9061270376616076,0.9471210340775558,0.8685344827586207,0.7188022844526459,0.9443440901200246
42,640,0.8,8355,0.801408022456306,0.9820426487093153,0.7530364372469636,0.6691449814126395,0.9059745347698335,0.9555785123966942,0.861266294227188,0.7959157471334921,0.9629035186970065
7,600,0.6500000000000001,8355,0.7181412795921132,0.9726509612780937,0.5659690627843494,0.6158038147138964,0.8346972176759411,0.8351528384279476,0.8342420937840785,0.6824664163652042,0.9341317314279413
7,610,0.5,8355,0.7210251649252108,0.9749931299807639,0.5206124852767963,0.6674698795180722,0.8374032162001191,0.8459687123947052,0.8290094339622641,0.7133529200912047,0.9294751423163959
7,620,0.6000000000000001,8355,0.7165310144549412,0.9824594140697891,0.7012065294535131,0.4659270998415214,0.907843137254902,0.9410569105691057,0.8768939393939394,0.31858694959304334,0.8607927301297531
7,630,0.7500000000000001,8355,0.8163651913059796,0.9827301120705493,0.7916666666666666,0.6746987951807228,0.8964757709251101,0.9166666666666666,0.8771551724137931,0.7515873890114929,0.937998152191476
7,640,0.55,8355,0.8143712891766555,0.9808988764044944,0.700587084148728,0.7616279069767442,0.9006815968841285,0.9438775510204082,0.861266294227188,0.828254848031351,0.9627791979214685
123,600,0.6500000000000001,8355,0.7430610357677688,0.9790749887741356,0.6158301158301158,0.6342780026990553,0.8688801350590883,0.8976744186046511,0.8418756815703381,0.6790307317484053,0.9488583699173544
123,610,0.55,8355,0.714598581457602,0.9777656278476399,0.5247524752475248,0.6412776412776413,0.8495684340320592,0.8901808785529716,0.8125,0.6877833642013987,0.9352525213243109
123,620,0.55,8355,0.7427300153159643,0.9826427771556551,0.7060539752005836,0.5394932935916542,0.9089128305582762,0.9411764705882353,0.8787878787878788,0.4294248294156686,0.8794651006944043
123,630,0.7000000000000001,8355,0.7558069425924258,0.9854992657856094,0.6700715015321757,0.6118500604594922,0.9125138427464009,0.9384965831435079,0.8879310344827587,0.6445991465381715,0.9339557603152046
123,640,0.7500000000000001,8355,0.8313960453660713,0.9826470312353438,0.7671464860287892,0.7443946188340808,0.9107573564881813,0.944944944944945,0.8789571694599627,0.7964014727921426,0.9646061196552544
