familia_letra,taxa_deteccao_t1,n_eventos,sim_seed
A,0.5,2,2026
B,0.7272727272727273,11,2026
C,0.9090909090909091,11,2026
D,0.0,3,2026
E,0.0,5,2026
F,0.8,10,2026
G,1.0,3,2026
A,0.5,8,7
B,0.6363636363636364,11,7
C,1.0,6,7
D,0.0,11,7
E,0.0,4,7
F,0.5454545454545454,11,7
G,1.0,8,7
A,0.5454545454545454,11,123
B,0.8888888888888888,9,123
C,1.0,8,123
D,0.0,15,123
E,0.07142857142857142,14,123
F,0.2857142857142857,21,123
G,1.0,7,123
A,0.5555555555555556,9,501
B,0.7272727272727273,11,501
C,0.8571428571428571,7,501
D,0.0,5,501
E,0.2222222222222222,9,501
F,0.6666666666666666,6,501
G,1.0,9,501
A,0.6923076923076923,13,909
B,0.8888888888888888,9,909
C,0.7692307692307693,13,909
D,0.0,7,909
E,0.0,7,909
F,0.0,1,909
G,1.0,3,909
A,0.16666666666666666,6,3141
B,0.9,10,3141
C,0.75,4,3141
D,0.0,10,3141
E,0.0,11,3141
F,0.625,8,3141
G,1.0,6,3141
A,1.0,4,8
B,0.75,8,8
C,0.75,4,8
D,0.0,9,8
E,0.0,7,8
F,0.4444444444444444,9,8
G,1.0,5,8
A,0.6666666666666666,6,55
B,0.6,10,55
C,0.3333333333333333,9,55
D,0.09090909090909091,11,55
E,0.0,11,55
F,0.5,10,55
G,1.0,15,55
A,0.42857142857142855,7,2024
B,0.8888888888888888,9,2024
C,1.0,10,2024
D,0.0,7,2024
E,0.14285714285714285,7,2024
F,0.6,15,2024
G,1.0,8,2024
A,0.7,10,77
B,0.5454545454545454,11,77
C,1.0,8,77
D,0.0,10,77
E,0.0,9,77
F,0.42857142857142855,7,77
G,1.0,7,77
