sim_seed,n_clean_hours,false_alarms,false_alarm_rate_pct,n_episodes,mean_episode_coverage_pct
2026,7841,159,2.027802576202015,45,47.854938271604944
7,7647,166,2.1707859291225318,59,43.92655367231639
123,7335,154,2.0995228357191547,85,36.446078431372555
501,8062,167,2.071446291242868,56,49.851190476190474
909,7852,194,2.470708099847173,53,43.266207063376875
3141,7799,171,2.1925887934350556,55,36.96969696969697
8,7804,170,2.178370066632496,46,43.87077294685991
55,7382,137,1.8558656190734217,72,45.06172839506173
2024,7664,164,2.139874739039666,63,43.3284292553
77,7646,179,2.341093382160607,62,38.6760752688172
